pageviews,calls,reservations,business_id,restaurant_type,treatment,hours_opened
595,40,42,485,chain,control,7
556,47,38,486,chain,control,9
553,42,40,487,chain,control,13
657,35,45,488,chain,control,9
696,48,53,489,chain,control,7
602,39,35,490,chain,control,9
655,45,43,491,chain,control,6
696,50,41,492,chain,control,12
629,42,48,493,chain,control,11
543,40,38,494,chain,control,10
562,39,42,495,chain,control,12
714,41,48,496,chain,control,7
465,35,37,497,chain,control,12
663,40,42,498,chain,control,7
614,42,34,499,chain,control,9
607,37,33,500,chain,control,6
572,43,37,501,chain,control,10
625,47,46,502,chain,control,12
677,42,44,503,chain,control,13
547,44,47,504,chain,control,7
605,45,36,505,chain,control,6
658,37,47,506,chain,control,8
678,45,41,507,chain,control,7
633,46,43,508,chain,control,6
594,43,45,509,chain,control,8
654,28,43,510,chain,control,6
610,41,41,511,chain,control,7
611,32,36,512,chain,control,9
609,36,41,513,chain,control,12
677,38,41,514,chain,control,7
626,43,39,515,chain,control,6
631,43,47,516,chain,control,6
656,41,41,517,chain,control,13
609,36,39,518,chain,control,8
548,45,38,519,chain,control,13
690,48,42,520,chain,control,12
637,39,42,521,chain,control,6
540,45,44,522,chain,control,12
559,50,47,523,chain,control,13
615,43,37,524,chain,control,11
611,45,46,525,chain,control,12
654,42,45,526,chain,control,11
690,36,41,527,chain,control,14
590,35,30,528,chain,control,10
495,47,42,529,chain,control,9
543,44,38,530,chain,control,11
500,39,42,531,chain,control,10
542,41,31,532,chain,control,12
690,48,44,533,chain,control,8
717,49,42,534,chain,control,14
598,47,39,535,chain,control,6
612,45,39,536,chain,control,7
634,37,40,537,chain,control,6
575,46,41,538,chain,control,9
630,38,44,539,chain,control,7
569,41,47,540,chain,control,11
635,46,48,541,chain,control,14
595,32,34,542,chain,control,9
690,44,47,543,chain,control,12
580,45,40,544,chain,control,11
715,41,44,545,chain,control,13
564,42,40,546,chain,control,11
625,40,38,547,chain,control,14
580,34,37,548,chain,control,8
614,45,40,549,chain,control,11
555,39,36,550,chain,control,14
652,49,41,551,chain,control,13
643,41,43,552,chain,control,8
670,43,43,553,chain,control,7
731,44,42,554,chain,control,9
610,35,38,555,chain,control,7
603,40,31,556,chain,control,12
596,40,36,557,chain,control,11
559,36,41,558,chain,control,11
641,39,41,559,chain,control,14
648,43,37,560,chain,control,14
629,43,47,561,chain,control,8
564,39,38,562,chain,control,7
677,29,38,563,chain,control,13
546,49,41,564,chain,control,10
607,38,39,565,chain,control,10
664,34,34,566,chain,control,12
583,36,35,567,chain,control,7
697,45,44,568,chain,control,6
637,39,42,569,chain,control,9
574,39,43,570,chain,control,9
655,35,43,571,chain,control,7
479,39,30,572,chain,control,10
548,32,43,573,chain,control,11
596,37,42,574,chain,control,12
581,43,41,575,chain,control,12
497,40,32,576,chain,control,12
631,41,43,577,chain,control,12
515,39,43,578,chain,control,12
647,36,34,579,chain,control,8
520,43,33,580,chain,control,11
601,36,46,581,chain,control,11
597,39,47,582,chain,control,6
474,45,36,583,chain,control,6
601,41,41,584,chain,control,9
559,34,35,585,chain,control,10
616,45,45,586,chain,control,6
572,44,43,587,chain,control,6
620,30,46,588,chain,control,8
582,34,43,589,chain,control,7
629,46,48,590,chain,control,14
533,35,31,591,chain,control,6
575,42,40,592,chain,control,14
593,46,46,593,chain,control,7
638,42,42,594,chain,control,14
566,44,40,595,chain,control,9
643,37,44,596,chain,control,7
637,37,40,597,chain,control,9
592,41,43,598,chain,control,12
684,43,40,599,chain,control,9
524,35,40,600,chain,control,14
684,42,45,601,chain,control,8
571,37,39,602,chain,control,11
552,30,43,603,chain,control,12
575,36,37,604,chain,control,8
584,30,35,605,chain,control,11
637,34,39,606,chain,control,12
623,43,30,607,chain,control,11
604,38,39,608,chain,control,6
643,37,36,609,chain,control,14
566,40,39,610,chain,control,8
635,43,41,611,chain,control,10
631,40,42,612,chain,control,11
544,51,41,613,chain,control,12
618,47,42,614,chain,control,10
535,34,45,615,chain,control,9
564,38,28,616,chain,control,10
702,41,35,617,chain,control,8
621,49,47,618,chain,control,11
590,41,37,619,chain,control,11
649,38,38,620,chain,control,7
560,45,40,621,chain,control,9
533,39,32,622,chain,control,13
623,54,37,623,chain,control,7
526,31,36,624,chain,control,14
566,47,38,625,chain,control,10
504,40,31,626,chain,control,13
529,37,36,627,chain,control,14
578,38,42,628,chain,control,9
601,41,35,629,chain,control,7
605,47,37,630,chain,control,11
562,35,39,631,chain,control,14
622,40,39,632,chain,control,13
610,44,35,633,chain,control,7
627,32,47,634,chain,control,7
578,48,42,635,chain,control,7
568,39,46,636,chain,control,12
662,45,46,637,chain,control,13
589,39,37,638,chain,control,7
665,42,39,639,chain,control,11
528,35,32,640,chain,control,7
649,45,40,641,chain,control,7
599,41,47,642,chain,control,11
621,44,27,643,chain,control,13
629,41,48,644,chain,control,14
630,40,33,645,chain,control,14
583,34,41,646,chain,control,6
510,40,31,647,chain,control,14
628,33,42,648,chain,control,7
605,39,50,649,chain,control,7
610,42,37,650,chain,control,11
648,43,47,651,chain,control,7
577,46,39,652,chain,control,8
579,38,41,653,chain,control,6
549,40,39,654,chain,control,7
551,45,39,655,chain,control,7
509,40,43,656,chain,control,11
574,35,41,657,chain,control,11
664,44,46,658,chain,control,6
585,41,34,659,chain,control,14
580,39,34,660,chain,control,9
638,44,44,661,chain,control,9
576,34,38,662,chain,control,12
587,32,39,663,chain,control,14
633,46,40,664,chain,control,12
610,40,34,665,chain,control,11
540,44,39,666,chain,control,14
522,33,36,667,chain,control,9
642,37,46,668,chain,control,8
620,35,38,669,chain,control,6
622,33,43,670,chain,control,11
585,37,47,671,chain,control,7
611,42,39,672,chain,control,11
592,48,39,673,chain,control,13
598,50,44,674,chain,control,8
574,39,38,675,chain,control,12
542,35,34,676,chain,control,13
623,39,38,677,chain,control,13
597,40,45,678,chain,control,11
607,46,40,679,chain,control,9
656,47,49,680,chain,control,11
584,39,36,681,chain,control,9
640,42,36,682,chain,control,14
614,42,41,683,chain,control,9
561,36,35,684,chain,control,13
513,36,30,685,chain,control,12
524,38,37,686,chain,control,9
684,43,45,687,chain,control,6
614,43,45,688,chain,control,9
575,36,41,689,chain,control,9
586,37,37,690,chain,control,8
552,37,37,691,chain,control,6
512,37,33,692,chain,control,7
640,43,36,693,chain,control,7
610,33,43,694,chain,control,9
619,32,42,695,chain,control,14
575,39,37,696,chain,control,6
579,43,34,697,chain,control,6
621,32,48,698,chain,control,9
580,39,43,699,chain,control,8
592,32,30,700,chain,control,9
613,45,48,701,chain,control,6
645,37,44,702,chain,control,12
566,38,43,703,chain,control,7
619,39,41,704,chain,control,9
624,43,41,705,chain,control,11
548,38,41,706,chain,control,10
623,40,32,707,chain,control,8
623,48,42,708,chain,control,8
588,41,45,709,chain,control,7
580,26,40,710,chain,control,13
540,35,38,711,chain,control,9
624,40,49,712,chain,control,14
681,48,34,713,chain,control,12
607,41,41,714,chain,control,10
607,46,45,715,chain,control,8
626,32,43,716,chain,control,10
687,39,43,717,chain,control,11
659,41,39,718,chain,control,9
719,42,47,719,chain,control,8
593,50,33,720,chain,control,12
646,30,42,721,chain,control,14
660,53,35,722,chain,control,13
574,35,39,723,chain,control,11
629,31,49,724,chain,control,7
663,46,39,725,chain,control,13
611,42,39,726,chain,control,9
677,40,39,727,chain,control,7
630,42,37,728,chain,control,7
529,41,42,729,chain,control,11
642,49,45,730,chain,control,8
547,36,33,731,chain,control,8
632,42,42,732,chain,control,7
554,39,45,733,chain,control,11
483,26,32,734,chain,control,10
589,37,46,735,chain,control,7
651,48,42,736,chain,control,12
485,45,34,737,chain,control,13
644,35,47,738,chain,control,10
661,37,46,739,chain,control,10
599,45,35,740,chain,control,6
569,36,37,741,chain,control,14
645,32,37,742,chain,control,12
644,44,41,743,chain,control,8
672,44,47,744,chain,control,6
573,39,46,745,chain,control,6
562,36,43,746,chain,control,9
568,41,32,747,chain,control,14
576,44,38,748,chain,control,11
527,37,38,749,chain,control,7
622,39,39,750,chain,control,7
566,35,44,751,chain,control,10
520,39,42,752,chain,control,10
666,42,53,753,chain,control,8
610,30,38,754,chain,control,11
459,38,31,755,chain,control,12
595,42,42,756,chain,control,7
708,41,44,757,chain,control,9
600,38,47,758,chain,control,13
642,38,47,759,chain,control,8
551,42,39,760,chain,control,6
606,36,45,761,chain,control,9
598,36,38,762,chain,control,11
624,34,48,763,chain,control,7
547,37,43,764,chain,control,6
534,46,37,765,chain,control,8
620,34,47,766,chain,control,13
650,47,41,767,chain,control,9
599,40,38,768,chain,control,6
586,34,47,769,chain,control,6
587,44,46,770,chain,control,10
616,41,30,771,chain,control,10
584,35,29,772,chain,control,13
560,39,44,773,chain,control,11
580,31,32,774,chain,control,13
588,39,37,775,chain,control,12
630,37,43,776,chain,control,12
604,37,35,777,chain,control,11
634,40,36,778,chain,control,10
556,35,32,779,chain,control,14
629,45,41,780,chain,control,9
599,45,38,781,chain,control,10
735,50,48,782,chain,control,6
641,38,44,783,chain,control,13
552,40,38,784,chain,control,8
637,47,39,785,chain,control,10
546,38,43,786,chain,control,10
534,44,36,787,chain,control,9
569,44,38,788,chain,control,10
616,37,46,789,chain,control,7
552,42,43,790,chain,control,14
559,36,32,791,chain,control,10
605,38,29,792,chain,control,6
544,25,30,793,chain,control,6
568,47,33,794,chain,control,13
635,41,45,795,chain,control,10
604,37,41,796,chain,control,6
638,46,52,797,chain,control,8
447,41,37,798,chain,control,7
539,44,40,799,chain,control,13
541,35,45,800,chain,control,8
538,36,40,801,chain,control,11
605,37,42,802,chain,control,10
575,38,43,803,chain,control,9
608,36,29,804,chain,control,13
581,37,38,805,chain,control,9
619,48,40,806,chain,control,14
592,40,37,807,chain,control,10
612,40,26,808,chain,control,8
581,34,40,809,chain,control,10
642,37,42,810,chain,control,12
561,38,46,811,chain,control,14
586,30,33,812,chain,control,13
553,35,39,813,chain,control,11
437,33,33,814,chain,control,14
584,33,35,815,chain,control,8
546,36,41,816,chain,control,8
566,42,38,817,chain,control,13
603,46,41,818,chain,control,7
606,46,36,819,chain,control,7
645,47,46,820,chain,control,8
659,41,49,821,chain,control,14
656,49,34,822,chain,control,11
594,54,44,823,chain,control,7
629,45,39,824,chain,control,8
625,45,35,825,chain,control,7
629,46,36,826,chain,control,7
513,41,34,827,chain,control,11
548,35,40,828,chain,control,6
660,35,43,829,chain,control,13
665,40,43,830,chain,control,10
612,35,37,831,chain,control,14
553,44,33,832,chain,control,8
692,49,41,833,chain,control,8
613,44,40,834,chain,control,7
592,45,37,835,chain,control,6
724,48,49,836,chain,control,13
623,52,39,837,chain,control,13
633,47,48,838,chain,control,12
685,41,38,839,chain,control,13
623,38,34,840,chain,control,6
632,43,37,841,chain,control,14
469,32,28,842,chain,control,12
478,36,38,843,chain,control,11
548,39,30,844,chain,control,7
590,45,39,845,chain,control,11
622,51,50,846,chain,control,7
593,36,39,847,chain,control,9
669,46,37,848,chain,control,7
534,36,34,849,chain,control,11
521,37,40,850,chain,control,11
600,37,51,851,chain,control,8
627,45,49,852,chain,control,7
636,46,42,853,chain,control,13
605,36,39,854,chain,control,9
567,44,43,855,chain,control,14
559,44,38,856,chain,control,11
570,40,41,857,chain,control,7
613,43,43,858,chain,control,6
607,36,36,859,chain,control,14
579,40,45,860,chain,control,13
645,49,44,861,chain,control,11
548,34,39,862,chain,control,13
610,48,35,863,chain,control,9
582,48,43,864,chain,control,10
609,35,56,865,chain,control,7
602,44,41,866,chain,control,10
591,39,40,867,chain,control,10
679,45,41,868,chain,control,14
543,44,40,869,chain,control,12
622,46,40,870,chain,control,7
625,50,42,871,chain,control,14
647,42,40,872,chain,control,14
679,40,48,873,chain,control,12
729,40,51,874,chain,control,6
650,45,42,875,chain,control,6
678,36,50,876,chain,control,14
637,45,45,877,chain,control,12
555,40,37,878,chain,control,11
583,36,44,879,chain,control,8
622,44,40,880,chain,control,9
569,37,35,881,chain,control,12
608,42,43,882,chain,control,9
665,39,53,883,chain,control,9
601,46,41,884,chain,control,12
608,41,41,885,chain,control,6
507,41,41,886,chain,control,12
644,45,36,887,chain,control,7
588,42,31,888,chain,control,13
576,44,39,889,chain,control,10
606,30,41,890,chain,control,6
645,49,39,891,chain,control,8
537,29,35,892,chain,control,12
618,33,44,893,chain,control,6
603,42,35,894,chain,control,12
620,41,38,895,chain,control,13
559,48,30,896,chain,control,7
534,39,29,897,chain,control,11
674,47,51,898,chain,control,14
578,33,32,899,chain,control,12
603,30,36,900,chain,control,6
645,46,45,901,chain,control,12
525,35,33,902,chain,control,12
610,46,36,903,chain,control,6
552,36,37,904,chain,control,7
675,43,41,905,chain,control,8
601,46,43,906,chain,control,13
542,36,40,907,chain,control,6
630,34,41,908,chain,control,8
635,44,44,909,chain,control,14
614,39,46,910,chain,control,9
657,35,41,911,chain,control,9
565,38,47,912,chain,control,13
604,43,46,913,chain,control,8
581,40,42,914,chain,control,9
581,31,34,915,chain,control,10
597,39,41,916,chain,control,7
589,43,46,917,chain,control,9
632,41,43,918,chain,control,12
696,50,44,919,chain,control,11
613,37,39,920,chain,control,9
651,37,39,921,chain,control,14
534,38,44,922,chain,control,12
550,44,37,923,chain,control,13
471,41,38,924,chain,control,8
694,46,44,925,chain,control,13
577,36,38,926,chain,control,12
638,41,46,927,chain,control,12
560,42,39,928,chain,control,7
