outcome,treat,channel,recency,frequency,monetary
263.3941115,1,Organic,18,9,119.0469137
340.3980824,1,Ad,20,15,227.6402687
243.8130532,1,Referral,11,7,134.8228567
244.0891487,1,Ad,20,16,62.6385978
115.6750005,1,Ad,16,19,50.60721761
339.8087407,1,Referral,9,8,121.6453499
231.9093263,1,Referral,11,16,54.0495901
172.5253091,1,Ad,13,28,147.5584857
177.1717042,1,Ad,15,4,50.74650586
158.402906,1,Referral,13,12,62.7017169
193.1261915,1,Organic,35,22,127.3743555
318.5154435,1,Referral,10,9,165.5444586
192.4410396,1,Referral,16,9,27.22886948
210.9482057,1,Referral,14,13,128.3558714
232.7261955,1,Organic,21,35,98.04707845
224.3459734,1,Ad,14,15,182.7282672
216.8388348,1,Ad,14,13,91.15566871
280.545609,1,Organic,22,12,79.91874906
238.6855143,1,Organic,12,15,102.598624
197.7878087,1,Ad,15,11,111.7717525
167.0849113,1,Referral,24,24,144.2972085
170.8329508,1,Organic,9,7,1.892084671
153.6854984,1,Ad,15,11,105.6380364
174.2850538,1,Ad,15,9,110.5796216
330.124192,1,Referral,8,6,111.3494822
202.8560241,1,Organic,18,19,102.9625432
260.2719242,1,Referral,9,11,103.0879678
202.5307853,1,Organic,10,7,38.26029415
179.9679728,1,Organic,10,12,145.1943817
244.979702,1,Referral,22,14,107.5233197
118.6679436,1,Organic,12,15,76.78684179
109.2078938,1,Referral,21,22,140.2472717
199.7313155,1,Ad,12,11,80.98163977
198.2841158,1,Organic,12,15,39.35497977
179.2044287,1,Ad,13,13,86.50106542
166.8837548,1,Organic,13,16,87.89401818
191.6377955,1,Organic,18,19,145.0680894
195.263972,1,Organic,27,27,56.52183883
151.3895785,1,Referral,17,20,21.62301611
143.9846025,1,Organic,18,9,96.34355262
145.4755237,1,Ad,16,9,107.0190104
132.8734392,1,Ad,12,11,138.5826242
356.0152956,1,Ad,9,3,143.8196938
211.5732234,1,Referral,15,12,44.37294249
239.7225575,1,Ad,16,17,97.97655292
193.0597515,1,Referral,30,10,126.9462151
251.0166462,1,Organic,15,14,148.0808427
127.476553,1,Referral,12,11,34.66504237
109.8707086,1,Ad,22,10,55.74546536
271.1501745,1,Organic,19,13,142.9873518
232.7320894,1,Ad,12,14,101.5133862
222.968411,1,Organic,12,8,85.79756074
181.899012,1,Ad,15,9,42.77779688
197.2663947,1,Ad,8,10,100.6080139
96.01325729,1,Ad,17,19,126.7333154
122.4345257,1,Organic,23,7,98.59331233
116.2532724,1,Ad,22,11,71.55963573
232.0236332,1,Ad,17,24,35.1005379
111.6224148,1,Referral,10,9,17.91297267
142.9529288,1,Ad,14,18,82.27236661
201.8744205,1,Organic,21,30,68.37235112
267.529749,1,Organic,7,7,54.66919668
155.749323,1,Organic,17,14,55.1230412
211.2070681,1,Ad,15,7,123.1441716
125.4799246,1,Ad,16,22,87.56784089
177.5893372,1,Organic,15,10,185.3133826
108.4381722,1,Ad,23,13,97.00963256
97.00700714,1,Organic,22,17,107.9499389
296.074395,1,Ad,33,25,13.10936453
144.3411689,1,Ad,16,16,69.44431864
107.2568633,1,Organic,24,17,38.08597732
88.73071976,1,Ad,18,16,194.9393517
137.2946531,1,Organic,16,16,177.4310489
196.3441713,1,Ad,11,11,164.553298
233.5550917,1,Referral,19,15,67.68292525
239.796253,1,Ad,18,12,85.51261003
198.4520721,1,Referral,12,17,72.42814318
268.2920158,1,Organic,12,6,84.81547961
130.6727793,1,Ad,18,26,82.79220153
186.8642268,1,Organic,15,10,55.90905724
115.2846769,1,Organic,14,14,7.338592357
424.5952257,1,Referral,17,5,199.1616931
150.3313404,1,Ad,17,9,64.32777264
210.0972749,1,Referral,12,13,130.8804676
319.5460427,1,Referral,8,3,69.40788911
110.2024721,1,Referral,14,8,139.7969872
119.9896867,1,Referral,29,18,129.4546181
219.007879,1,Organic,20,13,16.05581076
174.6321682,1,Referral,20,22,86.90964992
111.7786826,1,Organic,22,19,46.3598303
178.0004988,1,Organic,11,28,159.9517685
269.7281302,1,Organic,15,11,36.46793221
99.75723423,1,Ad,19,13,94.85418489
187.5504469,1,Organic,13,12,93.0159774
265.5554754,1,Organic,22,17,122.7434143
158.10751,1,Organic,24,28,74.07387267
54.80606613,1,Ad,22,23,159.5110518
81.77016085,1,Ad,22,12,41.35350581
341.6246897,1,Ad,8,4,85.01464843
178.7352554,1,Referral,11,8,98.82074489
128.0646605,1,Organic,15,13,84.72943821
189.7321229,1,Ad,18,26,100.5574753
210.6449619,1,Ad,11,2,8.590698698
187.5977379,1,Organic,10,12,120.4724013
408.9732606,1,Organic,13,22,161.7135696
310.4073576,1,Referral,18,19,160.4174616
157.50417,1,Organic,10,14,41.7254775
110.8017806,1,Organic,21,26,130.1467762
96.27662489,1,Organic,25,35,116.3043984
262.8112751,1,Referral,13,5,170.0740147
160.279227,1,Ad,22,30,155.4014067
213.8372548,1,Ad,9,13,131.7590877
245.2514288,1,Ad,18,20,94.38148669
205.814371,1,Ad,20,9,83.28312656
401.539091,1,Ad,8,3,105.1543828
120.9620526,1,Organic,18,18,5.500364099
251.7890057,1,Referral,16,5,107.6164923
190.7419014,1,Ad,26,16,63.34364484
240.9666063,1,Organic,19,12,145.7449256
203.0418025,1,Organic,11,14,96.15040545
221.9904731,1,Referral,7,8,61.55603912
303.2882388,1,Organic,8,5,122.5711343
270.5605105,1,Ad,14,23,21.21598572
297.5962941,1,Referral,21,19,154.5000964
246.8908107,1,Organic,8,12,93.83646258
449.939924,1,Ad,8,6,115.3407864
133.7356665,1,Organic,14,12,39.23336096
191.062302,1,Ad,22,24,47.11051315
195.8861275,1,Organic,18,12,149.9743424
134.0365418,1,Referral,18,18,37.22211198
203.7823823,1,Ad,29,31,71.05666648
146.2355662,1,Ad,22,14,30.34732667
148.3576436,1,Ad,12,6,27.41210393
217.5934389,1,Organic,14,18,172.5344327
164.5909345,1,Referral,14,11,120.6117512
249.4632208,1,Organic,12,10,100.3695719
114.4200204,1,Organic,20,20,51.64137894
203.9007331,1,Organic,20,19,80.26822832
150.767605,1,Referral,26,18,152.9432781
184.2811024,1,Referral,21,18,183.8013858
104.0014889,1,Organic,17,21,79.60873242
120.3761586,1,Organic,28,28,48.50386243
631.784732,1,Ad,10,2,175.1256936
206.3934853,1,Ad,17,18,34.39945416
189.2967366,1,Ad,15,18,94.95415853
148.3612836,1,Organic,18,11,79.44666804
257.9293402,1,Ad,18,7,137.7015701
271.7062382,1,Ad,17,20,142.1611593
244.5042319,1,Organic,10,5,13.74190105
136.2739685,1,Organic,14,8,52.70902751
122.3069988,1,Referral,18,6,80.86230319
300.5434871,1,Ad,16,10,46.08857679
133.8222277,1,Organic,26,11,28.02190926
212.9882636,1,Ad,13,9,57.46576062
179.441127,1,Ad,25,9,59.82441572
239.0788945,1,Ad,15,9,185.4316548
157.6147213,1,Organic,30,38,84.42845743
287.6333177,1,Ad,10,3,56.9607565
140.9128239,1,Ad,24,17,176.7720085
350.5683931,1,Organic,14,9,56.65642156
153.1074675,1,Ad,20,17,63.04065967
377.7321815,1,Organic,9,5,85.29858876
227.3055209,1,Ad,13,8,159.7125603
181.2115389,1,Referral,20,9,51.90670622
143.8825429,1,Ad,29,51,163.4974657
358.3399943,1,Organic,23,11,143.2887542
182.4273802,1,Referral,18,11,54.77201974
132.1067722,1,Organic,13,11,149.0849784
241.6346167,1,Ad,4,2,42.36423754
251.1808145,1,Ad,14,10,93.23040025
129.4675003,1,Ad,12,12,60.98649146
180.2888495,1,Ad,16,21,2.798954502
151.6340687,1,Referral,15,19,156.370107
201.1748623,1,Referral,14,17,98.01929974
172.2738176,1,Organic,19,20,106.803191
170.7872576,1,Ad,27,17,86.79456905
185.2515777,1,Organic,15,10,121.4359467
115.0755645,1,Ad,11,14,13.89272365
159.7554425,1,Organic,9,11,79.13903136
424.7754193,1,Referral,8,5,101.706404
190.0291876,1,Organic,22,11,129.4174325
236.5161251,1,Ad,12,14,126.1090571
253.0786096,1,Referral,13,9,94.2180336
166.4870194,1,Ad,18,14,23.75558596
120.4284215,1,Organic,16,9,56.00232522
169.910715,1,Organic,23,9,97.3466595
319.9139429,1,Organic,13,19,131.4072082
351.4559326,1,Ad,10,2,55.55990223
225.4622606,1,Organic,13,6,150.1009259
235.4203934,1,Ad,20,10,77.54436314
254.6058934,1,Ad,15,17,93.07639658
170.8259754,1,Referral,21,24,54.36760756
88.78767993,1,Organic,22,26,113.4728088
143.1119729,1,Ad,11,17,127.7729094
156.8839785,1,Referral,9,5,33.07167147
199.4896936,1,Organic,19,9,99.40655437
149.7936908,1,Ad,13,17,65.65849272
187.664065,1,Referral,24,15,143.1591174
343.2549179,1,Organic,15,9,98.0457632
371.2078073,1,Organic,9,4,93.44154177
92.84861609,1,Referral,23,12,115.3506924
226.7297963,1,Organic,17,21,151.471068
113.4291294,1,Ad,18,11,71.95631753
237.1737367,1,Ad,11,5,98.75509114
154.0949713,1,Ad,11,10,50.39695865
175.9512517,1,Ad,16,16,156.2236081
272.6526586,1,Ad,15,8,147.407502
288.1553629,1,Ad,11,8,102.3536909
87.57908601,1,Ad,12,7,3.279953151
212.1330572,1,Referral,12,11,95.50786228
132.2751829,1,Ad,13,17,26.91941623
129.6532704,1,Referral,15,13,144.9901833
186.0906505,1,Ad,16,25,102.7611055
267.1123435,1,Ad,19,19,85.06530824
365.4301077,1,Ad,11,3,96.52437518
187.4229657,1,Ad,8,3,6.723831995
185.0299224,1,Ad,13,12,119.1586302
219.7046251,1,Ad,14,13,117.3363702
271.2614554,1,Organic,12,13,128.0197068
179.1429352,1,Referral,8,16,22.00584886
396.0753429,1,Organic,9,3,162.3550528
149.7622415,1,Referral,19,29,139.4290871
205.6898689,1,Referral,12,5,87.93626722
264.4360855,1,Ad,15,12,153.9506799
311.087187,1,Organic,11,10,75.35905381
779.4091086,1,Ad,10,1,123.8541255
253.5937579,1,Ad,14,8,143.0787942
171.6355765,1,Ad,15,19,132.7406318
182.0156293,1,Referral,11,22,206.6840581
274.9290445,1,Ad,18,12,174.8002662
348.5477305,1,Referral,10,3,107.8996184
173.737575,1,Ad,14,12,123.9356047
108.1406919,1,Organic,17,12,28.95059339
151.4807012,1,Referral,16,19,134.9302803
287.5636864,1,Ad,8,6,97.51411414
243.9175173,1,Ad,15,15,91.08213032
475.163911,1,Ad,12,3,187.8467656
193.1906416,1,Organic,17,15,48.7427824
262.6932754,1,Referral,11,3,113.4314637
128.1406449,1,Ad,8,3,20.59888822
155.3547878,1,Ad,20,21,70.81545824
234.3473967,1,Organic,20,20,69.05569659
193.861424,1,Ad,24,18,143.400421
0,1,Organic,41,40,28.28680834
153.017841,1,Referral,16,4,32.25730447
90.11400943,1,Referral,19,7,14.19486596
116.9221363,1,Organic,21,31,135.1476855
130.0744287,1,Organic,24,14,0.408889221
232.2571889,1,Organic,22,16,122.4634065
239.1935991,1,Organic,9,10,100.8585684
199.0887552,1,Ad,16,8,128.142751
131.0971642,1,Organic,18,22,68.5241378
240.8061939,1,Organic,25,35,54.51426062
293.8121561,1,Ad,10,6,94.61845973
211.2246546,1,Referral,30,22,87.148447
203.6601523,1,Referral,16,13,51.69612739
187.0264047,1,Organic,15,7,89.99018295
252.751283,1,Ad,19,11,200.0561311
247.757554,1,Referral,13,7,57.59115119
154.6729106,1,Organic,9,11,60.46412986
107.4631824,1,Referral,22,24,118.3006896
215.3181522,1,Ad,9,9,121.7404077
129.1763781,1,Referral,14,19,100.6258411
324.0167641,1,Organic,8,4,151.4843029
135.5577002,1,Ad,18,24,122.3278054
185.1976915,1,Ad,15,17,130.6048519
216.5342533,1,Organic,14,14,112.7558983
275.7243418,1,Ad,12,12,135.436529
126.3324157,1,Ad,15,6,5.299083128
173.123005,1,Organic,14,15,51.63143113
392.3213526,1,Ad,10,12,192.8406868
222.6495908,1,Ad,17,12,147.9796125
231.3109086,1,Ad,19,23,39.60659501
191.9580072,1,Ad,19,7,143.7124906
318.9659213,1,Ad,9,3,94.19136472
187.896661,1,Ad,29,34,94.28891898
141.826106,1,Organic,14,9,94.72351105
135.8757908,1,Ad,18,23,161.8816331
264.6677329,1,Referral,19,17,15.47865988
189.5242819,1,Referral,27,22,138.2478357
329.5362125,1,Organic,16,5,126.3474853
154.7456004,1,Organic,16,16,80.36275425
182.7512302,1,Organic,16,12,51.12331073
176.2568025,1,Organic,13,9,117.2245556
250.8269642,1,Ad,14,4,105.0711222
151.6896799,1,Referral,13,14,68.04767456
249.261124,1,Organic,10,7,204.9988849
152.7216039,1,Organic,10,16,131.0915248
322.2368204,1,Ad,14,5,102.0613905
190.8172158,1,Ad,11,8,131.7545643
183.7158792,1,Organic,29,30,118.7468672
308.0996852,1,Ad,12,8,155.8461601
173.3677383,1,Organic,18,13,131.0180593
191.482093,1,Organic,18,5,88.62926503
199.1836508,1,Organic,27,21,88.01816947
159.2398734,1,Ad,12,23,52.83661763
166.3369282,1,Organic,10,6,7.836742411
264.8640753,1,Ad,8,5,87.66603767
227.1906424,1,Organic,8,13,112.0197276
227.0743973,1,Ad,13,8,105.3586889
222.8829244,1,Organic,22,21,82.93460154
227.1872782,1,Referral,17,15,107.1972049
118.7252185,1,Referral,13,17,47.85542775
289.5799934,1,Ad,10,10,138.4954453
154.7068234,1,Referral,28,19,149.6390769
140.1433134,1,Ad,17,19,152.325573
167.4455343,1,Organic,13,22,181.8353022
200.2830054,1,Organic,9,7,35.6595804
346.7446778,1,Ad,19,14,201.4901012
195.6584589,1,Ad,16,14,101.9726834
201.8819005,1,Organic,6,3,47.80874771
227.2213086,1,Referral,16,11,97.19243063
259.2634041,1,Ad,28,35,65.9757261
247.1971916,1,Ad,11,9,102.6722193
307.4438676,1,Referral,14,4,99.14629302
106.2992888,1,Ad,28,29,122.3751948
149.7194961,1,Ad,15,30,75.49150492
154.169996,1,Ad,23,26,57.04860116
155.73182,1,Ad,23,24,163.8503923
280.3400236,1,Ad,16,9,122.1027582
181.206718,1,Organic,26,25,50.98556601
346.3419072,1,Referral,12,4,86.5577357
164.7334078,1,Ad,14,19,114.1545037
230.8857919,1,Referral,26,18,72.94112793
120.5898067,1,Ad,14,27,194.5367816
259.9951392,1,Organic,8,11,159.5265666
180.1065501,1,Ad,20,9,67.32513847
151.0776488,1,Referral,18,13,19.43676908
268.7989178,1,Organic,19,18,150.5464348
209.2990509,1,Organic,17,16,101.5744651
363.2738184,1,Referral,15,8,183.9834702
177.079517,1,Referral,7,11,80.20203916
183.2838377,1,Organic,22,16,133.4501224
170.442919,1,Organic,27,57,117.374351
278.9954355,1,Referral,10,9,15.64294498
166.4487929,1,Organic,22,16,91.91255249
270.9303738,1,Referral,10,6,88.12569296
357.8388191,1,Organic,11,4,169.3325304
123.0177568,1,Organic,15,14,76.26337582
123.4430499,1,Ad,23,16,117.0012053
92.6526743,1,Ad,21,28,118.0851783
531.5392999,1,Organic,10,2,158.4590882
235.6524805,1,Referral,13,9,40.24049901
89.83343426,1,Referral,25,13,84.40218812
214.6096565,1,Organic,15,7,47.18310168
179.1347774,1,Organic,15,17,86.36244263
164.3352771,1,Ad,11,8,76.43778669
190.9843411,1,Organic,21,23,106.9305781
117.5213949,1,Organic,10,10,25.85605314
208.7049637,1,Ad,23,17,69.84088316
201.1078473,1,Ad,10,13,187.9546193
205.10907,1,Referral,10,13,84.69500608
192.7865042,1,Ad,13,12,154.6710409
256.3201419,1,Organic,8,7,190.6750795
308.6177232,1,Ad,6,11,114.9327964
202.2022051,1,Ad,20,13,106.0127862
249.6964761,1,Organic,11,15,168.7430643
187.6334487,1,Ad,23,19,92.27849808
67.9261968,1,Organic,20,32,111.8690079
112.4517422,1,Organic,17,14,74.26660516
327.1626754,1,Ad,7,4,173.3455489
201.8228277,1,Ad,11,8,137.7326284
227.1348735,1,Ad,10,6,44.62687323
162.3006622,1,Referral,19,18,78.98089712
129.8314842,1,Ad,13,23,26.64023549
160.4617668,1,Referral,12,10,78.94410437
190.1710995,1,Organic,20,11,146.8582729
211.2172521,1,Organic,22,33,132.7774672
175.343379,1,Organic,20,25,122.9997419
187.9239504,1,Ad,28,30,74.30728972
322.7833708,1,Organic,10,3,67.83752094
365.8800881,1,Organic,36,18,76.07153692
254.8643548,1,Organic,9,11,210.78461
204.2240598,1,Ad,23,22,143.3678893
198.1994204,1,Ad,26,41,115.6102564
167.2655553,1,Ad,16,4,61.96978391
285.481586,1,Organic,22,26,135.666813
241.2009179,1,Organic,14,12,119.1125217
219.7065703,1,Organic,12,12,105.1653735
259.062326,1,Ad,16,24,66.80384231
184.845894,1,Organic,20,13,180.4396086
176.2508268,1,Organic,12,11,101.6596098
186.0363912,1,Referral,11,7,131.89735
130.4545482,1,Ad,13,20,147.0817298
248.5229662,1,Organic,20,16,62.2721194
183.5007875,1,Ad,22,13,49.48315986
204.4882606,1,Organic,12,12,113.4456208
355.8771675,1,Ad,18,7,127.6023455
233.7873643,1,Organic,11,7,131.8010242
100.7055978,1,Organic,18,24,124.140262
115.6719009,1,Organic,18,27,86.15895381
243.5208623,1,Referral,30,13,93.44030856
237.486341,1,Referral,11,7,122.7140977
204.0496558,1,Ad,23,27,73.21349643
407.1824344,1,Organic,9,3,127.282962
213.0974818,1,Referral,11,10,26.98575937
193.7881135,1,Organic,18,15,126.63439
108.1531404,1,Referral,28,11,111.9712952
135.7153137,1,Ad,12,8,33.94645176
202.3044562,1,Referral,15,23,154.6801726
115.3244208,1,Ad,26,37,94.39518132
246.5075575,1,Referral,19,7,159.0856172
86.02844628,1,Referral,12,14,0.366385919
147.9512956,1,Organic,14,4,65.60962085
178.2208487,1,Ad,16,8,79.75912744
125.8496254,1,Referral,24,27,113.0476144
230.2040839,1,Organic,20,14,47.63381209
172.9233854,1,Ad,12,14,166.3230752
178.5989427,1,Organic,12,11,31.34254774
187.5263485,1,Ad,16,10,103.7802055
140.6033539,1,Referral,13,19,61.14419145
120.9050951,1,Ad,15,12,50.88992343
96.93563125,1,Ad,16,14,108.0949612
103.2096961,1,Referral,19,11,112.5312901
257.6220775,1,Organic,15,15,108.8270546
120.1281076,1,Referral,18,20,68.37387927
159.4684113,1,Ad,14,6,91.55984591
260.9385995,1,Ad,15,5,145.5080526
60.17023709,1,Organic,23,23,90.990389
179.1391941,1,Ad,12,11,86.41473185
295.0883593,1,Ad,11,4,91.70721323
321.6273201,1,Organic,6,10,186.0369945
161.5474347,1,Ad,20,18,90.62482512
110.1187264,1,Referral,25,17,55.15101186
192.5768839,1,Ad,16,8,52.47371255
142.2434708,1,Referral,16,8,71.24328267
203.7047124,1,Organic,16,22,115.5847045
394.9350713,1,Organic,13,3,177.8061412
204.876944,1,Organic,18,15,99.41938524
199.8587184,1,Organic,21,17,125.5131871
93.25015412,1,Ad,18,20,64.28182807
218.1620606,1,Organic,14,11,133.4401064
219.1748574,1,Referral,14,10,121.2434092
342.9188741,1,Ad,10,6,83.71881084
259.9654037,1,Organic,7,17,44.96490302
455.5360246,1,Ad,7,3,173.8614124
183.2863984,1,Referral,12,12,101.9636234
177.3445863,1,Referral,23,10,16.46277942
157.6177395,1,Referral,12,17,73.84374046
362.1278431,1,Referral,10,2,89.15323444
184.7389836,1,Ad,15,15,64.99910644
122.0108241,1,Ad,20,13,106.0265815
118.0570449,1,Referral,17,13,38.1329014
138.3222202,1,Ad,14,11,61.78398916
179.3414818,1,Referral,29,21,63.36900264
203.2712905,1,Referral,15,19,57.29546569
138.2637296,1,Organic,14,10,30.6477932
245.3259759,1,Ad,16,13,41.06703086
280.077052,1,Organic,8,8,186.4339704
147.1332811,1,Referral,20,27,86.90759156
237.2228111,1,Ad,14,18,64.94677481
173.843735,1,Referral,14,6,50.80607728
219.341518,1,Organic,16,16,127.1333922
95.05405957,1,Referral,17,14,97.44760586
407.0305794,1,Ad,10,3,170.9466747
174.755882,1,Referral,23,8,93.32685372
209.8631204,1,Referral,14,14,73.40743293
99.91817073,1,Organic,14,9,32.09464927
150.1978077,1,Ad,11,12,151.1443926
247.1014283,1,Ad,10,17,180.5894739
230.0755421,1,Organic,24,15,127.1670096
186.329283,1,Referral,18,14,189.4221181
127.4099317,1,Ad,18,23,94.54763755
299.0643405,1,Organic,11,3,86.0074855
242.8164421,1,Ad,10,6,116.1748805
160.7286208,1,Ad,17,14,49.09612985
248.3682569,1,Ad,13,8,54.52726921
180.4541136,1,Ad,16,14,135.3577356
156.3327143,1,Organic,27,31,47.56067396
178.1806672,1,Referral,14,9,113.3074834
216.5094318,1,Referral,16,18,134.6122064
167.474959,1,Ad,13,13,171.0535888
199.3293337,1,Organic,13,8,62.88636226
244.8765122,1,Ad,27,17,75.95916922
160.9731069,1,Ad,15,6,38.99969409
188.4924227,1,Ad,21,9,136.0416892
277.9557816,1,Ad,12,8,124.4822403
149.1021608,1,Referral,10,11,58.37331714
220.0702441,1,Referral,17,13,217.8144512
192.514738,1,Organic,15,9,65.26540179
298.5289298,1,Referral,23,15,112.8784693
274.2959954,1,Referral,12,7,182.0535158
88.48303504,1,Ad,22,28,181.4035129
163.0824263,1,Organic,14,9,41.74608761
333.458514,1,Ad,14,20,166.4855811
205.8401845,1,Organic,6,9,111.3720812
241.7935408,1,Organic,16,6,68.68522056
193.4647458,1,Organic,16,31,3.203447253
377.6308447,1,Organic,6,3,84.05685907
120.4984814,1,Ad,15,19,64.51355962
171.2742243,1,Ad,30,24,115.5191441
262.9353812,1,Ad,15,10,128.3532926
95.41440127,1,Ad,18,19,50.33041438
119.5694237,1,Organic,19,23,132.6819561
181.2442422,1,Ad,16,17,123.5693025
122.8576805,1,Ad,13,21,160.3066314
495.5803978,1,Referral,12,5,214.8791838
164.3171575,1,Ad,11,9,48.75977187
182.9931988,1,Organic,16,18,154.1743026
165.9087301,1,Ad,17,8,46.58600559
243.8322351,1,Ad,25,30,150.6493763
220.9532522,1,Referral,15,9,92.80837039
239.5614236,1,Ad,17,10,93.65882964
154.4417008,1,Ad,19,19,73.33920915
516.1298343,1,Referral,9,1,66.18742189
176.5615662,1,Ad,11,10,49.48383474
185.9091917,1,Ad,26,23,56.50516245
402.7765957,1,Organic,13,4,256.6949677
123.5633244,1,Organic,26,32,118.8792037
201.0190826,1,Organic,14,12,178.0832998
285.010087,1,Referral,17,13,152.9396495
248.8003813,1,Ad,18,11,154.1400469
177.9078267,1,Organic,13,11,82.017853
156.1832638,1,Referral,12,13,64.08339672
207.4736778,1,Ad,12,8,49.34701881
150.0747429,1,Referral,25,30,99.8481596
262.3326195,1,Organic,4,10,119.9830732
275.8114744,1,Referral,13,14,137.8830404
455.1250185,1,Ad,14,5,111.4137469
127.627394,1,Organic,15,9,16.22402419
141.4102063,1,Referral,23,17,49.9511721
206.1939005,1,Organic,13,8,178.478942
142.0769477,1,Ad,21,24,78.46458651
378.0308271,1,Organic,7,3,142.9389881
181.3592822,1,Referral,10,6,75.21722455
241.161298,1,Referral,13,10,143.1551824
112.8447987,1,Ad,15,28,113.2030466
303.5966707,1,Referral,9,16,179.3866937
396.1646341,1,Ad,17,10,177.999125
