net_tfa,age,inc,educ,fsize,marr,twoearn,db,pira,hown,e401
10,34,0.7329,16,1,0,0,0,0,0,0
0,26,1.7952,15,1,0,0,0,0,0,0
0,37,1.8942,14,4,0,0,0,0,0,0
-5000,25,2.748,12,3,1,1,0,0,1,0
20,57,0.6885,12,2,0,0,0,0,1,0
200,28,1.737,12,1,0,0,0,0,0,0
0,32,3.7593,16,4,1,1,1,0,0,0
-1345,63,1.6575,11,2,1,1,0,0,0,0
-3250,27,2.9766,14,2,1,0,0,0,1,0
11700,38,7.7124,17,1,0,0,0,1,1,0
3720,60,0.2307,10,2,0,0,0,0,1,0
-1600,28,2.9922,11,6,1,1,0,0,1,0
26600,38,8.055,18,2,1,1,0,1,1,0
2700,44,3.246,14,2,1,0,1,0,1,0
49,38,3.942,14,4,1,1,0,0,1,0
0,42,1.8,1,1,0,0,0,0,1,0
15599,61,1.9278,8,1,0,0,1,1,0,0
2905,51,1.9956,12,3,1,0,0,0,1,0
15970,37,0.7182,18,1,0,0,0,0,1,0
-86500,57,4.7193,12,2,1,1,0,0,0,0
-4200,27,1.32,12,2,0,0,0,0,0,0
-2415,38,1.4892,12,5,1,1,0,0,0,0
0,29,1.35,12,2,0,0,0,0,0,0
44,46,7.2099,16,2,1,0,0,0,1,0
90930,36,9.3648,18,2,1,1,0,1,0,0
4700,56,4.869,12,3,1,1,1,1,1,0
-712,30,0.9009,6,4,1,0,0,0,0,0
-635,29,3.6213,9,6,1,1,0,0,0,0
0,26,1.02,14,1,0,0,0,0,0,0
-2200,34,4.3716,12,3,1,1,1,0,0,0
-5055,59,0.9078,6,2,1,0,0,0,1,0
5399,31,1.3479,12,3,1,0,0,1,0,0
-2100,29,3.1569,17,4,1,0,0,0,1,0
600,49,1.7874,12,2,0,0,0,0,1,0
7299,31,4.3005,12,2,1,1,0,1,1,0
15100,33,3.3885,16,2,1,1,0,0,1,0
0,40,1.026,12,1,0,0,0,0,0,0
31791,53,2.3721,13,1,0,0,1,1,1,0
-400,30,2.3118,16,1,0,0,1,0,0,0
-12000,32,2.5305,12,3,1,1,0,0,1,0
499,47,4.9206,16,4,1,1,0,0,1,0
4500,33,3.0075,6,3,1,1,0,0,1,0
-10525,30,3.5058,16,2,1,1,0,0,0,0
-170,43,1.533,10,5,1,0,0,0,0,0
0,26,2.208,12,3,0,0,1,0,0,0
1000,44,6.54,16,4,1,1,1,0,0,0
-9764,43,1.1454,12,5,1,0,0,0,1,0
17075,35,3.03,18,2,0,0,0,0,1,0
2010,48,2.9238,10,4,1,0,0,0,1,0
600,42,1.0428,12,3,0,0,0,0,1,0
41549,39,8.4111,18,1,0,0,1,1,1,0
26564,45,7.0035,10,2,0,0,0,0,0,0
0,40,1.056,12,2,0,0,0,0,0,0
44763,62,4.05,11,3,1,1,0,1,1,0
1600,36,3.1869,16,1,0,0,0,1,0,0
10029,30,2.1306,16,2,0,0,0,0,1,0
29715,35,7.4178,14,4,1,0,0,0,1,0
4144,44,4.7769,12,6,1,0,0,0,1,0
-18500,56,1.2024,12,2,0,0,0,0,1,0
0,35,0.264,9,4,0,0,0,0,0,0
-1564,49,2.2395,12,5,1,1,1,0,1,0
385000,43,5.0484,12,3,0,0,0,1,1,0
-4000,45,4.2576,16,1,0,0,1,0,0,0
0,38,1.0443,12,4,0,0,0,0,0,0
1800,32,1.9224,14,1,0,0,1,0,0,0
1500,32,3.4455,13,3,1,1,0,1,1,0
-21070,27,3.3453,16,3,1,1,1,0,1,0
12500,44,2.1234,15,1,0,0,1,1,1,0
6000,32,2.193,14,1,0,0,0,0,0,0
-5000,48,4.5165,12,3,1,1,0,0,1,0
-300,39,2.076,12,2,1,1,0,0,1,0
-3900,31,2.715,12,3,0,0,0,0,0,0
850,26,1.6116,13,3,1,0,0,0,0,0
-595,31,3.1536,12,4,1,1,1,0,1,0
12877,31,3.7461,12,4,1,1,0,0,1,0
60300,38,11.0181,12,5,1,1,0,1,0,0
30,35,2.4123,14,3,0,0,1,0,0,0
-15565,35,2.8782,13,5,1,1,0,0,1,0
1500,42,3.6666,18,3,1,1,0,0,1,0
300,44,7.2975,10,3,1,1,1,0,1,0
-5250,48,4.9656,12,3,1,1,0,0,0,0
-10491,36,3.6267,15,4,1,1,0,0,1,0
1300,35,5.5374,12,3,1,1,0,1,1,0
0,28,2.2833,12,3,0,0,0,0,0,0
-2000,37,6.912,16,3,1,1,0,0,0,0
1000,34,2.4465,11,3,1,1,0,0,0,0
454,46,8.0862,17,5,1,1,1,0,1,0
209,30,3.342,12,4,1,1,0,0,0,0
1460,54,0.744,8,1,0,0,1,0,1,0
-9600,47,1.5141,12,2,1,0,0,0,1,0
4572,34,2.0667,12,4,1,1,0,1,0,0
25699,52,3.087,13,3,1,1,0,0,1,0
2924,27,1.686,12,1,0,0,0,0,0,0
0,43,1.608,14,1,0,0,0,0,0,0
26000,40,5.2998,18,1,0,0,1,0,1,0
740,28,1.683,13,1,0,0,1,0,0,0
4000,63,3.732,8,2,1,0,0,0,1,0
1799,54,5.3133,18,3,1,1,0,0,0,0
100,35,2.8998,12,3,0,0,1,0,0,0
4500,59,0.774,7,2,1,0,0,0,1,0
-300,33,1.3755,12,3,0,0,1,0,0,0
200,30,4.2315,14,2,1,1,0,0,1,0
200,58,2.049,12,4,1,1,0,0,1,0
-397,35,2.1177,12,4,0,0,0,0,0,0
0,35,2.1735,12,4,1,1,0,0,0,0
-9550,42,1.26,12,1,0,0,0,0,1,0
130812,59,4.5519,12,2,1,1,0,1,1,0
49,48,2.6958,13,3,1,0,0,0,0,0
4600,32,5.097,15,2,1,0,0,0,1,0
50,43,3.9612,12,2,1,1,0,0,1,0
-1951,31,2.4012,13,2,1,1,0,0,0,0
-2854,54,2.8059,16,5,1,1,0,1,0,0
0,27,1.62,12,1,0,0,0,0,0,0
1800,45,1.485,12,2,0,0,0,0,1,0
41499,58,2.0976,13,1,0,0,0,0,1,0
-3386,29,1.6902,1,7,1,0,0,0,0,0
-400,63,1.1877,12,3,0,0,0,0,0,0
-6397,43,1.1103,14,4,0,0,0,0,0,0
-1700,29,3.9051,16,1,0,0,0,0,0,0
-500,51,1.9968,18,2,0,0,0,0,1,0
-225,44,4.2744,13,2,1,1,1,0,0,0
8400,38,7.8396,16,4,1,1,0,1,1,0
-11635,37,3.4803,11,5,1,1,0,0,1,0
2750,44,1.0446,12,5,1,0,0,0,1,0
67600,44,3.4755,1,4,1,0,0,0,1,0
31,29,1.5174,12,4,0,0,0,0,1,0
-165,37,2.0421,13,1,0,0,0,0,0,0
28999,42,5.511,12,4,1,1,0,1,1,0
500,38,2.805,12,4,1,0,0,0,1,0
50,40,1.212,12,4,0,0,1,0,1,0
0,31,2.808,12,3,1,1,0,0,1,0
-101436,31,4.2555,13,3,1,1,0,0,0,0
3399,31,3.7509,16,1,0,0,0,0,0,0
0,35,0.9042,12,1,0,0,1,0,0,0
4210,42,5.718,18,4,1,1,0,0,1,0
131,39,1.1604,18,3,1,1,0,0,1,0
-1804,27,2.34,5,3,1,1,0,0,0,0
259,62,2.0622,16,1,0,0,0,0,1,0
599,27,1.0836,14,3,0,0,0,0,1,0
1490,38,1.2816,10,4,1,0,0,0,1,0
3450,33,4.383,15,3,1,1,0,1,1,0
2225,60,2.2986,12,2,1,1,0,1,1,0
3000,60,3.7794,13,2,1,1,0,1,0,0
100,52,0.489,10,1,0,0,0,0,1,0
294,61,1.9545,12,3,1,1,0,0,1,0
700,31,1.986,14,1,0,0,0,0,0,0
52000,61,1.3206,12,4,0,0,0,1,1,0
89900,49,2.325,12,1,0,0,0,1,1,0
1258,34,6.0615,14,4,1,1,0,1,1,0
4000,31,2.3529,16,1,0,0,1,0,0,0
3800,29,3.7704,12,3,1,1,0,0,1,0
8199,33,2.4612,6,5,0,0,0,0,1,0
-13600,33,3.855,14,3,1,1,0,1,0,0
195000,44,12.87,17,4,1,1,1,1,1,0
-450,31,1.2816,12,4,0,0,0,0,0,0
0,47,3.78,14,2,0,0,0,0,1,0
-7451,40,1.788,12,3,0,0,0,0,0,0
-7920,41,1.9641,12,3,0,0,0,0,1,0
0,36,0.5103,12,2,0,0,0,0,0,0
30,29,1.2756,12,1,0,0,0,0,0,0
0,33,0.4845,12,3,0,0,0,0,0,0
12192,27,3.183,15,3,1,1,0,1,1,0
99,42,2.343,13,5,0,0,0,0,0,0
900,36,4.2114,15,6,1,1,0,0,0,0
5000,32,1.11,1,5,1,0,0,0,0,0
0,26,0.528,12,1,0,0,0,0,1,0
-6301,39,3.7569,12,4,1,1,0,0,0,0
24900,45,4.3239,12,1,0,0,1,1,1,0
59061,63,7.1184,12,2,1,1,0,1,1,0
-350,31,5.9544,16,4,1,1,1,0,1,0
0,30,0.42,11,6,0,0,1,0,0,0
0,46,0.7668,8,2,0,0,0,0,1,0
0,55,0.7872,11,2,0,0,0,0,0,0
-2100,38,3.1896,15,5,1,1,1,0,1,0
0,25,1.4439,9,3,1,0,0,0,0,0
3899,34,1.9713,12,3,1,0,0,0,0,0
28000,41,3.1254,18,1,0,0,1,0,1,0
62300,35,6.3525,18,1,0,0,0,1,0,0
-6600,43,3.18,12,3,0,0,1,0,1,0
-451,60,2.4996,10,4,1,1,1,0,1,0
0,51,3.645,12,3,1,0,0,0,1,0
2600,60,2.1072,15,2,1,1,0,0,0,0
200,49,1.8012,12,2,0,0,0,0,1,0
-600,42,1.224,12,3,1,0,0,0,0,0
734,53,3.1386,12,3,1,0,0,0,1,0
-4850,34,2.1645,14,2,0,0,1,0,0,0
-633,56,1.7724,13,3,1,0,0,0,1,0
14800,53,3.7482,12,3,1,1,0,1,1,0
-3300,58,2.7639,10,2,1,0,0,0,1,0
360,26,3.072,16,1,0,0,0,0,1,0
2549,38,1.8438,11,6,1,0,0,0,0,0
-800,38,1.9125,12,7,1,0,0,0,0,0
12000,35,1.3704,12,6,1,0,0,1,1,0
749,53,3.4185,12,1,0,0,1,0,1,0
-40300,28,5.166,18,1,0,0,0,0,1,0
0,35,0.192,12,4,1,0,0,0,0,0
-3650,37,2.0424,11,4,1,0,0,0,1,0
-400,34,2.16,13,3,1,1,0,0,0,0
4700,36,5.6118,16,1,0,0,1,1,1,0
-425,28,2.0148,12,5,1,1,1,0,0,0
-1150,44,1.6806,12,3,1,0,0,0,1,0
-1093,31,1.3317,15,4,1,1,0,0,1,0
-100,31,2.0475,17,1,1,0,0,0,0,0
-3000,51,0.873,12,2,1,0,0,0,1,0
-150,28,1.95,12,1,0,0,0,0,0,0
-16000,54,2.7858,6,4,1,0,0,0,1,0
-1700,36,4.1694,14,2,1,1,1,0,1,0
0,40,0.885,12,1,0,0,0,0,0,0
0,29,0.765,12,1,0,0,0,0,0,0
7499,25,5.145,12,2,0,0,0,0,1,0
-57200,47,1.0542,12,2,1,0,0,0,1,0
0,49,1.53,15,1,0,0,0,0,0,0
86500,35,10.2171,18,4,1,0,1,1,1,0
-5100,40,4.5231,13,3,0,0,0,0,1,0
-2674,30,1.3152,10,3,0,0,0,0,1,0
37316,38,2.7813,11,3,1,1,0,1,1,0
6048,49,3.9123,12,3,1,1,0,0,1,0
-2200,32,3.615,12,4,1,1,0,0,1,0
110,52,3.9219,12,2,1,0,0,0,1,0
-300,55,1.08,12,3,0,0,0,0,1,0
20649,58,2.0235,10,2,1,0,0,1,1,0
-13300,38,6.2703,12,5,1,1,0,0,1,0
310,43,2.349,14,1,0,0,0,0,1,0
-150,27,1.5888,12,2,0,0,0,0,1,0
-9001,25,3.3729,18,1,0,0,0,0,0,0
1875,29,5.5845,12,2,1,1,0,0,1,0
-650,40,1.9209,15,2,0,0,0,0,1,0
656,59,2.3976,14,2,1,0,0,0,1,0
-32887,35,5.7156,12,4,1,1,0,0,1,0
0,43,1.3743,12,1,0,0,0,0,0,0
-11900,39,0.747,12,1,0,0,1,0,0,0
2550,36,7.794,15,4,1,1,0,0,1,0
-69300,46,1.62,12,5,1,1,0,0,1,0
3700,26,1.0404,9,1,0,0,0,0,1,0
0,54,2.724,16,5,0,0,1,0,0,0
250,56,3.5742,12,3,1,0,0,0,1,0
3660,63,2.8272,8,4,1,0,0,0,1,0
39000,62,5.8272,11,1,0,0,1,0,1,0
-1246,42,1.4307,12,6,1,0,0,0,0,0
215750,41,6.6018,16,3,0,0,0,0,1,0
-40650,38,0.675,14,2,0,0,0,1,0,0
130,42,2.7,13,1,0,0,1,0,1,0
11800,55,2.1801,12,3,0,0,1,1,1,0
8000,45,3.6495,12,3,0,0,1,0,0,0
469400,61,17.2092,12,2,1,0,0,1,1,0
1599,64,0.6498,13,1,0,0,0,0,0,0
1225,35,2.4549,14,1,0,0,1,0,0,0
1006499,40,8.2251,18,5,1,0,0,0,1,0
-1000,32,5.3796,17,5,1,0,0,0,0,0
-148,60,0.765,6,1,0,0,0,0,1,0
-3500,42,3.8817,12,2,1,1,0,0,1,0
2398,31,1.9284,14,1,0,0,1,0,0,0
-3500,41,1.8675,14,2,0,0,0,0,1,0
20840,48,9.123,12,3,1,1,1,1,1,0
-1600,53,2.1816,10,1,0,0,1,0,0,0
97333,63,4.4799,12,2,1,0,0,1,0,0
4200,28,4.806,15,4,1,1,0,1,1,0
43399,55,7.6077,12,3,1,1,1,1,1,0
5692,33,4.9845,18,2,1,1,0,1,1,0
4000,31,2.7708,13,3,1,0,0,1,0,0
25,29,1.467,12,1,0,0,0,0,0,0
-334,43,3.4299,18,2,0,0,0,0,1,0
11658,38,0.4584,12,3,0,0,0,1,1,0
0,28,1.917,14,4,1,1,0,0,0,0
16069,39,4.5762,17,4,1,0,0,1,1,0
18000,52,2.1435,12,1,0,0,1,1,1,0
250,57,3.9312,16,1,0,0,0,0,1,0
6807,32,1.9035,12,4,1,0,1,0,1,0
975,42,0.6639,12,1,0,0,0,1,1,0
-4960,27,1.7004,13,3,0,0,0,0,0,0
184500,36,11.8401,16,4,1,0,0,1,1,0
20600,61,6.822,12,2,1,1,0,1,1,0
1500,33,1.629,12,1,0,0,1,0,0,0
-2650,38,2.9481,14,5,1,1,0,0,1,0
10499,35,1.5144,15,4,1,0,0,1,0,0
9645,33,2.205,14,2,0,0,0,0,0,0
5021,54,0.96,12,3,1,0,0,0,1,0
1200,30,2.2362,13,1,0,0,0,0,0,0
-9000,40,1.4241,14,5,0,0,0,0,0,0
1940,53,3.9192,10,2,1,1,0,1,1,0
-9700,56,3.7869,11,3,1,1,0,0,1,0
-1840,33,4.4388,12,5,1,0,0,0,1,0
93521,54,5.277,14,5,1,0,0,1,1,0
1000,35,2.145,12,5,1,0,0,0,1,0
-160,36,0.927,12,4,0,0,0,0,0,0
-1200,25,2.883,13,1,0,0,0,0,0,0
0,61,0.3636,9,1,0,0,0,0,0,0
2399,50,2.22,12,1,0,0,1,0,1,0
65897,56,3.9546,12,1,0,0,0,1,1,0
-3690,43,3.7146,18,2,0,0,1,0,1,0
42800,53,3.2559,12,3,1,1,0,1,1,0
1200,29,1.5372,12,1,0,0,0,0,0,0
-6569,25,1.4484,11,4,1,0,0,0,1,0
300,36,5.7624,12,1,0,0,0,0,1,0
15600,25,1.7793,18,1,0,0,0,0,0,0
4000,49,4.8168,12,1,0,0,1,0,1,0
1600,27,7.497,12,5,1,0,0,0,1,0
33926,59,4.3605,12,3,1,0,0,1,1,0
0,45,0.24,12,3,1,0,0,0,0,0
21550,61,2.8926,16,5,1,1,0,1,1,0
-250,41,3.18,12,1,0,0,1,0,0,0
8550,59,3.135,12,1,0,0,0,1,0,0
7500,60,4.332,12,4,1,1,0,0,1,0
-6600,32,5.2041,16,1,1,0,1,0,1,0
-299750,42,5.3514,10,4,1,1,0,0,1,0
0,42,1.686,8,1,0,0,0,0,1,0
0,28,0.6006,10,2,0,0,0,0,0,0
-5100,31,3.3513,11,7,1,1,0,0,0,0
4249,26,3.5325,12,2,0,0,0,0,1,0
-2225,60,2.244,12,2,1,1,0,0,1,0
125,43,1.3896,12,2,0,0,0,0,1,0
-4300,43,2.0583,16,4,0,0,1,0,0,0
35900,33,3.9351,18,1,0,0,0,1,0,0
400,58,1.209,12,2,0,0,0,0,0,0
46800,58,2.4804,12,2,0,0,0,1,1,0
635,25,2.163,16,1,0,0,0,1,0,0
-8388,28,2.853,12,3,1,1,0,1,1,0
4200,41,4.8336,17,2,0,0,1,0,1,0
0,31,1.2588,12,6,1,1,0,0,0,0
1200,27,3.0162,8,5,1,0,0,0,0,0
6200,49,1.9809,12,3,0,0,1,0,0,0
-2200,30,1.4787,16,3,0,0,0,0,0,0
500,49,2.043,13,1,0,0,0,0,0,0
45,38,1.1082,17,4,0,0,0,0,0,0
26200,59,2.8284,12,2,1,0,0,0,1,0
-8500,31,3.0315,13,4,1,0,0,0,1,0
300,42,3.57,12,2,0,0,0,0,0,0
1700,45,4.527,11,4,1,0,0,0,1,0
100,48,2.3412,12,6,1,0,0,0,1,0
25,34,1.2291,12,1,0,0,0,0,0,0
-8000,47,3.9432,12,5,1,1,1,0,1,0
-2752,61,4.9992,12,2,1,0,0,0,1,0
-7100,31,5.8122,16,2,1,1,1,0,0,0
0,61,2.5092,12,4,0,0,0,0,1,0
86030,40,4.3203,12,4,1,1,0,1,1,0
0,32,1.92,14,1,0,0,0,0,0,0
16699,26,2.97,16,1,1,0,1,0,0,0
-14551,36,10.4343,18,3,1,1,1,0,0,0
1000,63,1.9764,12,6,0,0,1,0,1,0
-3570,49,0.384,14,2,1,0,0,0,1,0
57500,35,8.1075,14,3,1,0,0,1,1,0
-300,39,3.3078,16,1,0,0,0,0,0,0
-16700,35,6.501,14,4,1,1,0,0,0,0
1100,60,3.0639,13,3,1,0,1,0,1,0
3000,42,5.0937,14,5,1,1,0,0,1,0
28000,53,10.8258,16,3,1,1,0,1,1,0
7700,52,7.311,16,2,1,1,1,1,1,0
-3605,31,1.7127,12,2,1,0,0,0,1,0
93501,48,7.9053,12,2,1,0,0,1,1,0
-400,38,1.77,12,1,0,0,0,0,1,0
0,33,1.224,10,6,1,0,0,0,0,0
16549,26,1.1118,13,3,0,0,0,0,0,0
120000,40,12.4932,17,4,1,1,0,1,1,0
82200,25,2.8209,16,1,0,0,0,1,0,0
48800,26,8.682,18,1,0,0,0,1,0,0
0,49,0.9612,12,2,0,0,0,0,0,0
25,34,0.84,13,3,1,0,0,0,0,0
-3300,31,2.8146,12,5,1,0,0,0,1,0
-7000,38,0.813,12,5,0,0,0,0,0,0
300,30,2.2722,16,1,0,0,0,0,0,0
100,25,0.7044,5,4,1,0,0,0,0,0
-15141,49,6.9555,18,4,1,1,1,0,1,0
2258,32,1.3866,12,2,0,0,0,0,0,0
-150,54,0.54,12,2,0,0,0,0,1,0
5649,45,3.558,12,3,1,1,0,1,1,0
-1,35,2.163,11,5,0,0,1,0,0,0
900,36,1.782,12,4,1,0,0,0,1,0
20000,32,2.898,16,1,0,0,0,0,0,0
137000,39,5.49,18,3,1,0,0,1,1,0
21000,35,9.2277,12,4,1,1,0,0,1,0
346749,57,12.855,16,2,1,0,0,1,1,0
1800,52,1.905,12,4,1,1,0,0,1,0
-3000,34,4.6053,12,4,1,1,0,0,1,0
17000,35,1.9464,12,4,0,0,1,0,1,0
28057,39,3.6522,14,2,1,1,0,1,1,0
16500,31,2.556,16,3,1,0,0,0,0,0
5500,39,2.9265,10,3,1,1,1,0,1,0
-1000,27,1.53,12,1,0,0,0,0,0,0
10000,36,3.81,16,1,0,0,0,1,0,0
21050,37,4.7109,13,3,1,1,0,0,1,0
0,32,3.6,18,5,1,0,0,0,0,0
23700,39,3.21,16,1,0,0,1,1,1,0
-151,40,4.9209,12,1,0,0,1,0,0,0
-3000,41,2.04,11,3,1,0,0,0,1,0
0,40,1.3896,8,7,1,0,0,0,0,0
-400,30,0.84,12,2,0,0,0,0,0,0
9199,49,10.1946,12,6,1,1,0,0,1,0
0,39,1.3212,12,5,0,0,0,0,1,0
50,36,1.3821,14,2,0,0,0,0,1,0
79700,57,4.335,12,2,1,0,0,1,1,0
41999,38,5.1798,14,2,0,0,0,0,1,0
1000,29,1.9254,14,3,0,0,0,0,1,0
0,53,0.999,12,1,0,0,0,0,0,0
46500,33,4.1712,12,4,1,0,0,0,1,0
-3100,28,2.145,14,3,1,1,0,0,1,0
34112,57,6.7098,18,1,0,0,1,1,1,0
-200,31,1.9056,12,5,1,0,1,0,0,0
-4199,27,4.4508,12,3,1,1,0,0,0,0
200,38,0.8406,13,3,1,0,0,0,1,0
0,28,1.0506,4,5,1,0,0,0,0,0
2700,31,1.6527,12,1,0,0,0,0,0,0
-6501,47,3.378,13,5,1,1,0,0,1,0
126098,52,10.3164,18,6,1,1,1,1,1,0
-5901,52,6.7746,18,3,1,1,1,0,1,0
-409000,40,11.5584,14,2,1,1,0,0,1,0
-4900,28,2.046,12,1,0,0,0,0,0,0
1200,32,2.97,12,3,0,0,0,0,1,0
2999,56,1.6092,8,4,1,0,0,0,1,0
-11950,43,2.5371,12,1,0,0,0,0,1,0
-2900,51,3.5487,16,1,0,0,1,0,1,0
-3970,45,6.4791,14,4,1,1,1,0,0,0
-1915,60,2.5134,12,5,1,0,0,0,1,0
0,54,4.4616,11,3,1,1,0,0,1,0
-12900,34,2.925,18,1,0,0,0,0,1,0
0,40,2.784,12,2,0,0,0,0,0,0
0,36,0.3246,4,3,0,0,0,0,1,0
-1334,31,3.6153,14,5,1,0,0,0,1,0
76850,50,3.84,12,2,1,1,0,1,1,0
0,27,1.4655,12,3,0,0,0,0,0,0
5,33,1.92,13,1,0,0,1,0,0,0
26000,36,7.701,16,4,1,1,0,1,1,0
32000,45,8.055,13,3,1,1,1,1,0,0
7900,34,5.6787,16,3,1,1,0,0,1,0
-30240,25,8.538,1,4,1,1,0,0,0,0
-300,58,1.9986,11,3,1,0,0,0,1,0
-3900,26,5.7975,16,1,0,0,0,0,1,0
-800,27,2.8965,12,5,1,1,0,0,1,0
-1214,33,0.909,5,4,1,0,0,0,0,0
2700,40,5.8974,16,5,1,1,1,1,1,0
10399,40,2.9622,12,2,0,0,1,1,1,0
0,48,1.02,13,1,0,0,0,0,0,0
-5400,55,2.3166,12,3,1,1,1,0,1,0
2499,45,3.9207,15,3,0,0,1,0,1,0
-10500,57,0.819,12,2,1,0,0,0,1,0
3600,31,3.18,16,4,1,0,0,0,1,0
300,27,3.204,12,4,1,1,0,0,0,0
3955,31,2.3562,12,1,0,0,0,0,0,0
-1340,37,2.6553,12,2,0,0,1,0,1,0
2499,56,5.694,18,1,0,0,1,1,1,0
700,27,2.8845,12,2,0,0,0,0,0,0
-6920,37,2.0403,6,1,0,0,0,0,0,0
70335,54,2.3832,13,3,1,0,1,0,1,0
-959,31,2.0418,12,4,1,0,0,0,0,0
5020,43,1.098,12,3,0,0,0,0,1,0
500,45,2.043,12,4,0,0,0,0,1,0
0,46,2.88,12,2,0,0,1,0,1,0
1024,26,4.2738,15,3,1,1,0,0,1,0
19,34,1.1091,10,4,0,0,0,0,0,0
87996,49,7.9023,18,4,1,1,1,1,1,0
11400,28,4.4376,15,4,1,1,1,0,1,0
-11000,49,7.686,15,6,1,1,1,0,1,0
875,34,1.53,11,1,0,0,0,0,1,0
20,58,1.9089,12,3,0,0,0,0,1,0
0,26,0.816,12,4,1,0,0,0,0,0
60400,43,10.3356,18,3,1,0,0,1,1,0
