id,y,region,usuario,antiguedad,genero
76,1,RegionC,Pesado,26.40834155,Mujer
77,0,RegionA,Ligero,33.29483872,Hombre
78,0,RegionC,Ligero,56.72415051,Hombre
79,0,RegionC,Pesado,29.9676915,Mujer
80,0,RegionB,Ligero,25.92017677,Hombre
81,0,RegionA,Pesado,31.0196439,Mujer
82,0,RegionC,Pesado,42.19845796,Mujer
83,1,RegionB,Ligero,25.21104868,Hombre
84,0,RegionB,Ligero,18.65436361,Mujer
85,0,RegionB,Ligero,18.09584804,Hombre
86,0,RegionB,Pesado,56.17014044,Hombre
87,1,RegionA,Pesado,56.16341297,Hombre
88,0,RegionC,Ligero,38.9024833,Hombre
89,1,RegionA,Ligero,43.77857411,Hombre
90,0,RegionB,Ligero,50.35009214,Hombre
91,0,RegionA,Ligero,27.10431966,Hombre
92,0,RegionA,Ligero,17.78751825,Mujer
93,1,RegionB,Pesado,36.78969928,Hombre
94,0,RegionC,Ligero,31.71587358,Mujer
95,1,RegionA,Ligero,29.96737991,Hombre
96,1,RegionC,Pesado,46.09444588,Hombre
97,1,RegionA,Pesado,24.47478303,Mujer
98,1,RegionA,Pesado,46.63077026,Hombre
99,1,RegionB,Ligero,42.0169069,Mujer
100,0,RegionC,Ligero,28.05401522,Hombre
101,0,RegionB,Ligero,20.25170193,Mujer
102,0,RegionC,Pesado,54.98210094,Mujer
103,1,RegionA,Pesado,60.69755472,Hombre
104,0,RegionC,Ligero,52.65150256,Hombre
105,0,RegionC,Ligero,38.26504359,Mujer
106,1,RegionA,Pesado,53.28561718,Hombre
107,0,RegionC,Ligero,42.32003397,Mujer
108,0,RegionA,Pesado,29.64697917,Mujer
109,1,RegionB,Pesado,35.97511862,Hombre
110,1,RegionB,Pesado,32.73255272,Mujer
111,0,RegionC,Ligero,34.22209747,Mujer
112,0,RegionC,Ligero,11.69767999,Hombre
113,0,RegionA,Ligero,19.23516205,Hombre
114,0,RegionC,Ligero,31.66381447,Mujer
115,1,RegionA,Ligero,53.18444592,Hombre
116,0,RegionA,Ligero,44.82010074,Mujer
117,1,RegionA,Ligero,19.86641325,Hombre
118,0,RegionC,Pesado,47.52017908,Hombre
119,0,RegionB,Ligero,60.29317656,Mujer
120,0,RegionB,Ligero,57.43611441,Mujer
121,0,RegionC,Pesado,35.67861314,Mujer
122,0,RegionC,Ligero,49.59596307,Hombre
123,1,RegionB,Pesado,36.74479959,Mujer
124,0,RegionA,Ligero,47.97003394,Hombre
125,0,RegionA,Ligero,52.16652282,Hombre
126,0,RegionA,Ligero,20.40197977,Hombre
127,1,RegionA,Pesado,33.41285244,Mujer
128,1,RegionB,Ligero,27.05376904,Mujer
129,1,RegionB,Pesado,24.66260068,Hombre
130,0,RegionA,Ligero,57.77711734,Hombre
131,1,RegionB,Ligero,18.81222351,Mujer
132,0,RegionA,Ligero,50.52041229,Hombre
133,1,RegionA,Ligero,26.29714329,Hombre
134,0,RegionC,Ligero,48.75619641,Hombre
135,0,RegionA,Ligero,29.13297375,Mujer
136,0,RegionA,Ligero,55.37237543,Mujer
137,1,RegionA,Ligero,22.66033249,Hombre
138,0,RegionB,Pesado,48.62637604,Mujer
139,0,RegionB,Pesado,58.76002429,Hombre
140,1,RegionA,Ligero,37.98630341,Hombre
141,0,RegionC,Ligero,34.42758838,Hombre
142,1,RegionA,Ligero,37.47615394,Mujer
143,1,RegionB,Pesado,44.80611589,Mujer
144,0,RegionC,Ligero,32.94053995,Hombre
145,1,RegionB,Ligero,18.7886279,Mujer
146,0,RegionA,Pesado,25.15350374,Mujer
147,1,RegionA,Ligero,26.28855931,Mujer
148,0,RegionC,Ligero,57.84616813,Mujer
149,0,RegionA,Pesado,45.96454285,Hombre
150,0,RegionC,Ligero,29.21286246,Mujer
151,0,RegionA,Ligero,57.70669712,Hombre
152,0,RegionC,Ligero,33.15360535,Hombre
153,0,RegionA,Ligero,27.99657477,Mujer
154,0,RegionC,Ligero,33.05006438,Hombre
155,1,RegionB,Ligero,50.80835252,Hombre
156,0,RegionA,Ligero,32.24940473,Mujer
157,0,RegionA,Pesado,36.18137067,Mujer
158,0,RegionC,Ligero,51.90646744,Mujer
159,0,RegionA,Ligero,22.13446774,Hombre
160,0,RegionC,Ligero,49.12468602,Mujer
161,0,RegionA,Ligero,61.22426869,Hombre
162,1,RegionC,Ligero,19.44709405,Mujer
163,0,RegionA,Pesado,40.63874302,Hombre
164,0,RegionA,Pesado,31.32219308,Mujer
165,1,RegionC,Ligero,24.97539966,Mujer
166,1,RegionC,Ligero,44.26178321,Mujer
167,1,RegionA,Ligero,27.01334651,Hombre
168,0,RegionB,Pesado,31.16261952,Hombre
169,1,RegionA,Ligero,66.92961828,Hombre
170,1,RegionC,Ligero,33.49257196,Hombre
171,0,RegionA,Pesado,28.63455193,Mujer
172,0,RegionB,Ligero,23.4987964,Hombre
173,0,RegionA,Ligero,47.34931877,Hombre
174,0,RegionB,Ligero,48.95584192,Mujer
175,1,RegionC,Ligero,43.61526415,Mujer
176,0,RegionA,Pesado,56.62914962,Hombre
177,1,RegionA,Pesado,53.49593244,Mujer
178,0,RegionA,Pesado,27.19127897,Mujer
179,0,RegionA,Ligero,45.63696448,Hombre
180,0,RegionA,Pesado,51.10197707,Hombre
181,1,RegionB,Pesado,54.1498657,Hombre
182,0,RegionC,Ligero,36.62652803,Mujer
183,0,RegionB,Pesado,20.44404842,Hombre
184,1,RegionB,Ligero,31.03722103,Hombre
185,0,RegionA,Ligero,37.57804641,Mujer
186,0,RegionA,Ligero,54.99940811,Mujer
187,0,RegionC,Ligero,41.58662877,Mujer
188,0,RegionA,Ligero,47.10806785,Mujer
189,0,RegionB,Ligero,30.06936439,Hombre
190,1,RegionB,Pesado,33.44005786,Mujer
191,0,RegionA,Ligero,55.32772542,Hombre
192,0,RegionA,Ligero,44.84777723,Hombre
193,1,RegionB,Ligero,27.54885354,Hombre
194,1,RegionB,Ligero,40.39188638,Mujer
195,1,RegionA,Pesado,25.16115614,Hombre
196,1,RegionB,Ligero,15.60377344,Mujer
197,1,RegionB,Ligero,18.64818464,Hombre
198,0,RegionA,Ligero,15.49407868,Hombre
199,0,RegionB,Pesado,67.4479374,Mujer
200,1,RegionC,Ligero,40.2175192,Hombre
201,0,RegionC,Pesado,57.77127395,Hombre
202,1,RegionA,Ligero,21.20466446,Mujer
203,0,RegionB,Ligero,47.03761575,Mujer
204,1,RegionC,Pesado,55.32154231,Hombre
205,0,RegionC,Ligero,29.57650523,Mujer
206,1,RegionA,Pesado,41.2323412,Hombre
207,1,RegionB,Ligero,33.90538163,Mujer
208,1,RegionB,Ligero,55.32170776,Hombre
209,0,RegionC,Ligero,47.81063222,Hombre
210,0,RegionC,Ligero,17.7466982,Mujer
211,1,RegionB,Ligero,33.13646851,Hombre
212,1,RegionA,Pesado,47.88247487,Hombre
213,0,RegionC,Pesado,46.19784112,Hombre
214,1,RegionB,Ligero,35.29062214,Mujer
215,0,RegionA,Ligero,61.84827748,Hombre
216,0,RegionC,Ligero,47.22571949,Mujer
217,0,RegionB,Pesado,48.54321862,Mujer
218,0,RegionC,Pesado,34.60407718,Hombre
219,0,RegionC,Ligero,19.31802416,Hombre
220,0,RegionB,Ligero,45.18395315,Mujer
221,1,RegionB,Ligero,38.48206174,Hombre
222,0,RegionB,Ligero,44.00758531,Hombre
223,1,RegionB,Pesado,58.09916335,Hombre
224,0,RegionC,Ligero,49.24442971,Mujer
225,0,RegionA,Ligero,54.46955421,Hombre
226,1,RegionA,Pesado,41.16717179,Hombre
227,1,RegionA,Ligero,59.06637227,Mujer
228,0,RegionC,Pesado,34.39041461,Hombre
229,1,RegionC,Pesado,23.23115624,Hombre
230,1,RegionC,Ligero,38.19336196,Hombre
231,0,RegionB,Ligero,48.52321405,Hombre
232,0,RegionC,Pesado,51.64503527,Mujer
233,0,RegionC,Ligero,44.62892068,Hombre
234,0,RegionA,Ligero,42.61499414,Hombre
235,0,RegionA,Ligero,61.48781962,Hombre
236,0,RegionC,Pesado,45.4288323,Mujer
237,1,RegionA,Ligero,57.24998174,Mujer
238,0,RegionA,Ligero,70.83124719,Mujer
239,1,RegionC,Ligero,15.59995126,Mujer
240,0,RegionC,Pesado,62.63378481,Mujer
241,0,RegionA,Ligero,40.41110516,Hombre
242,0,RegionA,Ligero,56.11630021,Hombre
243,0,RegionA,Pesado,24.82571335,Mujer
244,0,RegionA,Ligero,39.86943892,Mujer
245,0,RegionC,Pesado,31.38444511,Mujer
246,0,RegionA,Ligero,57.85915447,Hombre
247,0,RegionA,Ligero,51.87367466,Hombre
248,0,RegionC,Pesado,27.61903358,Hombre
249,0,RegionB,Ligero,60.51465546,Mujer
250,1,RegionA,Ligero,23.69992513,Mujer
251,1,RegionB,Pesado,31.00545482,Hombre
252,0,RegionA,Ligero,41.52883963,Hombre
253,0,RegionB,Ligero,48.31368979,Mujer
254,1,RegionB,Ligero,53.61357929,Mujer
255,0,RegionA,Pesado,35.04938543,Mujer
256,0,RegionA,Ligero,30.28492103,Hombre
257,0,RegionB,Ligero,44.34048331,Hombre
258,1,RegionB,Ligero,53.70621332,Mujer
259,1,RegionB,Ligero,38.18667194,Hombre
260,0,RegionC,Ligero,51.39719421,Hombre
261,1,RegionA,Pesado,35.1219806,Hombre
262,1,RegionA,Pesado,29.06481088,Mujer
263,0,RegionA,Ligero,32.75843758,Mujer
264,0,RegionA,Pesado,54.66288999,Mujer
265,0,RegionA,Pesado,25.17079372,Mujer
266,1,RegionB,Pesado,40.11750223,Hombre
267,1,RegionB,Pesado,31.07614055,Hombre
268,0,RegionA,Ligero,55.39281853,Hombre
269,0,RegionA,Ligero,21.93033664,Mujer
270,0,RegionA,Ligero,43.95681624,Hombre
271,1,RegionB,Pesado,36.60963233,Mujer
272,1,RegionB,Ligero,49.89471248,Mujer
273,0,RegionB,Ligero,42.1283173,Hombre
274,1,RegionA,Ligero,37.88251358,Hombre
275,1,RegionA,Ligero,22.828511,Hombre
276,0,RegionC,Ligero,28.54975841,Mujer
277,0,RegionC,Ligero,29.35147912,Mujer
278,0,RegionB,Ligero,31.93715571,Hombre
279,1,RegionB,Ligero,54.80552693,Mujer
280,1,RegionA,Ligero,51.29486778,Mujer
281,1,RegionB,Ligero,36.60902636,Mujer
282,0,RegionA,Ligero,24.88936394,Mujer
283,1,RegionB,Ligero,36.2917321,Hombre
284,0,RegionB,Ligero,36.18537272,Hombre
285,0,RegionB,Ligero,46.30798368,Mujer
286,0,RegionC,Pesado,43.69125877,Mujer
287,0,RegionB,Ligero,28.21902013,Hombre
288,1,RegionA,Ligero,46.92221039,Hombre
289,1,RegionC,Ligero,32.50404584,Hombre
290,1,RegionC,Ligero,61.30175983,Hombre
291,0,RegionA,Ligero,50.71774041,Mujer
292,1,RegionA,Ligero,59.80425666,Hombre
293,1,RegionB,Pesado,42.70980586,Hombre
294,0,RegionB,Pesado,37.7350763,Hombre
295,0,RegionA,Ligero,16.25113457,Hombre
296,0,RegionB,Ligero,32.38711993,Hombre
297,1,RegionA,Ligero,28.71837879,Mujer
298,1,RegionB,Pesado,24.91163238,Hombre
299,1,RegionC,Ligero,35.07985914,Hombre
300,0,RegionB,Ligero,62.90440342,Mujer
301,0,RegionB,Ligero,26.83417263,Hombre
302,0,RegionC,Pesado,22.92524248,Hombre
303,0,RegionA,Pesado,29.75884609,Mujer
304,1,RegionC,Ligero,39.93155157,Hombre
305,0,RegionC,Pesado,20.61805341,Mujer
306,1,RegionA,Ligero,31.81861417,Mujer
307,1,RegionB,Ligero,51.7233554,Hombre
308,1,RegionB,Ligero,40.14282131,Hombre
309,0,RegionC,Ligero,42.77316599,Mujer
310,0,RegionC,Pesado,42.72257125,Hombre
311,0,RegionC,Ligero,36.58911896,Mujer
312,0,RegionC,Pesado,36.66811478,Hombre
313,0,RegionA,Pesado,30.51412137,Hombre
314,0,RegionB,Pesado,33.44247568,Mujer
315,0,RegionC,Ligero,61.3806026,Mujer
316,0,RegionA,Ligero,16.22597994,Mujer
317,0,RegionC,Pesado,25.95685937,Hombre
318,0,RegionC,Ligero,37.11333819,Hombre
319,1,RegionB,Pesado,38.01407565,Mujer
320,0,RegionA,Pesado,55.37073515,Hombre
321,0,RegionB,Ligero,46.0708626,Hombre
322,0,RegionA,Pesado,54.54086131,Hombre
323,0,RegionC,Pesado,25.08320163,Hombre
324,0,RegionC,Ligero,41.25961761,Mujer
325,0,RegionC,Ligero,51.49907025,Mujer
326,0,RegionA,Pesado,26.11269262,Mujer
327,0,RegionB,Ligero,33.67792667,Hombre
328,1,RegionB,Ligero,27.94842512,Hombre
329,0,RegionB,Ligero,25.40532872,Mujer
330,1,RegionB,Pesado,52.78182968,Mujer
331,0,RegionC,Ligero,20.7996552,Hombre
332,1,RegionA,Ligero,27.03803926,Hombre
333,0,RegionA,Ligero,51.61525363,Mujer
334,0,RegionA,Pesado,17.34300077,Mujer
335,0,RegionB,Ligero,34.52498348,Hombre
336,0,RegionB,Ligero,55.81459484,Mujer
337,1,RegionA,Ligero,35.0749113,Hombre
338,0,RegionA,Ligero,15.88734303,Hombre
339,0,RegionC,Ligero,47.87795837,Mujer
340,0,RegionA,Pesado,32.94528487,Hombre
341,1,RegionC,Ligero,20.40327485,Hombre
342,1,RegionA,Ligero,44.87704158,Mujer
343,0,RegionA,Ligero,44.04236574,Hombre
344,1,RegionA,Ligero,47.47461793,Mujer
345,1,RegionC,Ligero,52.63609497,Hombre
346,0,RegionC,Pesado,38.5311391,Mujer
347,0,RegionA,Ligero,57.90758635,Mujer
348,1,RegionA,Ligero,58.17243994,Mujer
349,0,RegionB,Ligero,31.94835836,Mujer
350,0,RegionA,Ligero,36.63980638,Mujer
351,1,RegionA,Ligero,42.36813784,Mujer
352,0,RegionC,Pesado,51.65715799,Hombre
353,0,RegionA,Pesado,50.30324615,Hombre
354,0,RegionC,Ligero,30.93457519,Mujer
355,0,RegionC,Ligero,43.46685171,Mujer
356,1,RegionA,Ligero,28.46385127,Mujer
357,1,RegionC,Ligero,28.9612181,Mujer
358,0,RegionC,Pesado,32.0919552,Mujer
359,0,RegionB,Ligero,50.86905839,Hombre
360,0,RegionA,Pesado,37.42937805,Hombre
361,1,RegionB,Pesado,47.88667381,Mujer
362,1,RegionB,Ligero,53.97082354,Hombre
363,1,RegionC,Ligero,42.86450181,Mujer
364,0,RegionB,Ligero,36.69267207,Hombre
365,1,RegionC,Pesado,35.91828453,Mujer
366,1,RegionA,Ligero,34.70253615,Mujer
367,0,RegionA,Ligero,41.40279337,Hombre
368,0,RegionB,Ligero,54.38876474,Mujer
369,1,RegionA,Pesado,51.65684433,Hombre
370,1,RegionC,Ligero,68.12973003,Mujer
371,0,RegionC,Ligero,58.1906887,Hombre
372,0,RegionA,Ligero,33.89986227,Hombre
373,1,RegionA,Ligero,28.42674304,Hombre
374,1,RegionC,Ligero,41.13361245,Hombre
375,1,RegionC,Ligero,38.98537903,Hombre
376,1,RegionC,Ligero,19.47619762,Mujer
377,0,RegionC,Ligero,35.32385231,Hombre
378,0,RegionA,Ligero,58.5629818,Hombre
379,1,RegionB,Ligero,40.3630684,Mujer
380,1,RegionC,Pesado,45.10308131,Mujer
381,0,RegionA,Ligero,38.05633,Hombre
382,1,RegionA,Ligero,38.39455564,Mujer
383,1,RegionB,Ligero,30.06170838,Hombre
384,0,RegionA,Pesado,60.30862492,Mujer
385,1,RegionA,Ligero,67.56944167,Mujer
386,0,RegionA,Ligero,34.52260559,Mujer
387,0,RegionC,Pesado,23.24770079,Hombre
388,1,RegionB,Pesado,31.69003178,Mujer
389,0,RegionA,Ligero,48.48149859,Mujer
390,0,RegionB,Ligero,29.69450915,Mujer
391,0,RegionA,Pesado,41.96608097,Hombre
392,1,RegionA,Ligero,50.87520195,Mujer
393,1,RegionA,Ligero,26.77769628,Mujer
394,1,RegionB,Ligero,40.34712546,Hombre
395,1,RegionB,Ligero,49.58825058,Mujer
396,0,RegionB,Ligero,43.59613196,Hombre
397,0,RegionB,Pesado,48.53892578,Mujer
398,1,RegionC,Pesado,48.71699901,Mujer
399,0,RegionC,Ligero,25.27431609,Hombre
400,0,RegionB,Ligero,37.37675582,Hombre
401,0,RegionB,Pesado,37.01596366,Mujer
402,0,RegionC,Pesado,21.32071545,Mujer
403,0,RegionB,Ligero,28.73563445,Hombre
404,1,RegionB,Ligero,16.1614507,Mujer
405,0,RegionC,Ligero,18.06678228,Mujer
406,0,RegionB,Ligero,29.27134053,Hombre
407,1,RegionA,Pesado,52.40484918,Hombre
408,1,RegionB,Pesado,45.87224076,Hombre
409,0,RegionA,Ligero,54.38103921,Mujer
410,1,RegionB,Ligero,44.09386625,Hombre
411,1,RegionC,Pesado,32.38705769,Mujer
412,1,RegionA,Ligero,57.14481106,Hombre
413,0,RegionB,Ligero,27.9725882,Mujer
414,0,RegionB,Pesado,44.27045971,Mujer
415,1,RegionA,Ligero,39.82743968,Mujer
416,0,RegionA,Ligero,55.17347476,Hombre
417,0,RegionC,Pesado,48.7368805,Mujer
418,0,RegionC,Pesado,40.25026557,Hombre
419,0,RegionC,Ligero,22.5853895,Mujer
420,1,RegionB,Pesado,19.05039741,Hombre
421,0,RegionA,Ligero,41.57179615,Hombre
422,0,RegionB,Ligero,50.94215383,Mujer
423,1,RegionB,Pesado,50.63762938,Mujer
424,1,RegionB,Pesado,54.53596364,Mujer
425,0,RegionC,Ligero,38.70364383,Hombre
426,0,RegionA,Ligero,17.25929255,Mujer
427,0,RegionA,Ligero,35.59857368,Hombre
428,0,RegionB,Ligero,52.6110738,Hombre
429,0,RegionB,Pesado,39.23177277,Mujer
430,0,RegionC,Ligero,23.21820379,Hombre
431,1,RegionC,Pesado,34.80750142,Hombre
432,0,RegionB,Pesado,45.19647988,Hombre
433,1,RegionA,Ligero,34.67658723,Hombre
434,0,RegionB,Ligero,26.15548348,Hombre
435,1,RegionB,Ligero,24.92689125,Hombre
436,0,RegionC,Ligero,54.42956618,Mujer
437,0,RegionB,Pesado,30.68979886,Mujer
438,0,RegionA,Ligero,19.76402396,Hombre
439,0,RegionC,Pesado,52.38127263,Mujer
440,0,RegionB,Ligero,19.3861757,Hombre
441,1,RegionA,Ligero,17.01402496,Hombre
442,1,RegionA,Pesado,41.3239964,Mujer
443,0,RegionB,Ligero,14.79509375,Hombre
444,1,RegionA,Ligero,36.49624829,Mujer
445,1,RegionC,Ligero,53.05959921,Hombre
446,0,RegionA,Ligero,47.10798725,Hombre
447,1,RegionC,Pesado,28.172892,Mujer
448,0,RegionB,Ligero,42.47822896,Hombre
449,1,RegionA,Pesado,40.34527749,Mujer
450,0,RegionA,Pesado,52.2441839,Hombre
451,0,RegionA,Ligero,39.16859436,Mujer
452,0,RegionC,Ligero,29.54356197,Mujer
453,0,RegionC,Ligero,23.56862232,Hombre
454,0,RegionA,Ligero,46.93791589,Hombre
455,1,RegionC,Pesado,20.75865111,Mujer
456,0,RegionA,Pesado,52.98533521,Hombre
457,0,RegionA,Ligero,62.9868403,Hombre
458,0,RegionB,Pesado,49.89837742,Hombre
459,0,RegionC,Ligero,30.69915899,Hombre
460,0,RegionB,Ligero,36.19216319,Hombre
461,1,RegionC,Ligero,48.00679372,Hombre
462,1,RegionA,Pesado,34.05801809,Mujer
463,0,RegionB,Ligero,25.46209936,Mujer
464,1,RegionA,Ligero,50.52658819,Hombre
465,0,RegionC,Ligero,47.59450247,Hombre
466,0,RegionC,Ligero,17.22119106,Hombre
467,1,RegionC,Pesado,61.63228111,Hombre
468,1,RegionC,Ligero,21.778984,Hombre
469,0,RegionA,Ligero,25.87292614,Hombre
470,0,RegionB,Pesado,45.7912074,Hombre
471,0,RegionB,Pesado,42.66866707,Mujer
472,0,RegionC,Ligero,43.5189212,Hombre
473,0,RegionA,Ligero,39.80556456,Mujer
474,0,RegionC,Ligero,27.78832048,Hombre
475,0,RegionB,Ligero,48.66554267,Mujer
476,0,RegionB,Pesado,28.7386977,Mujer
477,1,RegionA,Ligero,62.01463002,Mujer
478,1,RegionA,Ligero,51.74990312,Hombre
479,0,RegionC,Ligero,37.09375191,Hombre
480,0,RegionB,Ligero,60.19801969,Mujer
481,1,RegionB,Ligero,59.02121573,Mujer
482,0,RegionB,Ligero,49.76993296,Mujer
483,1,RegionB,Pesado,34.57965002,Hombre
484,0,RegionC,Ligero,31.32069651,Hombre
485,0,RegionC,Ligero,45.82123873,Hombre
486,1,RegionC,Pesado,53.94214193,Hombre
487,0,RegionB,Ligero,48.88062154,Hombre
488,0,RegionA,Ligero,19.50106504,Mujer
489,0,RegionC,Ligero,21.57766274,Mujer
490,0,RegionA,Pesado,31.60818821,Mujer
491,0,RegionA,Ligero,23.55998257,Mujer
492,0,RegionA,Pesado,33.43549987,Mujer
493,0,RegionA,Ligero,15.91012768,Hombre
494,0,RegionC,Ligero,15.37781309,Mujer
495,0,RegionC,Ligero,34.52721927,Hombre
496,1,RegionB,Pesado,36.80682979,Mujer
497,0,RegionA,Pesado,45.12613699,Mujer
498,1,RegionA,Ligero,37.86134347,Mujer
499,1,RegionA,Ligero,18.87994396,Mujer
500,0,RegionA,Ligero,30.62232828,Mujer
501,1,RegionB,Pesado,60.31678823,Mujer
502,1,RegionA,Ligero,12.38962211,Hombre
503,0,RegionA,Ligero,39.9049992,Hombre
504,0,RegionA,Ligero,43.01837317,Mujer
505,0,RegionA,Ligero,46.95722085,Mujer
506,0,RegionA,Ligero,48.22163846,Mujer
507,0,RegionB,Ligero,48.41203792,Hombre
508,0,RegionC,Ligero,36.01554577,Hombre
509,0,RegionC,Pesado,53.27038617,Hombre
510,1,RegionA,Ligero,26.77450658,Hombre
511,0,RegionA,Ligero,37.89443055,Mujer
512,1,RegionC,Pesado,36.74135644,Mujer
513,1,RegionB,Ligero,33.78915205,Hombre
514,1,RegionA,Ligero,41.96987872,Hombre
515,0,RegionB,Ligero,33.15915593,Mujer
516,0,RegionA,Pesado,32.2974732,Hombre
517,1,RegionB,Ligero,29.8281845,Hombre
518,0,RegionB,Pesado,34.56869844,Mujer
519,1,RegionB,Ligero,48.85092813,Hombre
520,0,RegionA,Ligero,31.28712154,Mujer
521,0,RegionA,Ligero,20.05355295,Mujer
522,1,RegionB,Ligero,40.08832643,Hombre
523,0,RegionA,Ligero,57.07981998,Hombre
524,0,RegionC,Pesado,45.06851119,Hombre
525,0,RegionC,Ligero,24.22714071,Hombre
526,0,RegionB,Ligero,51.46504356,Mujer
527,1,RegionB,Ligero,54.06782333,Mujer
528,0,RegionC,Ligero,22.9277115,Hombre
529,0,RegionA,Ligero,36.19279836,Mujer
530,0,RegionA,Pesado,57.14490923,Hombre
531,0,RegionC,Pesado,23.71567176,Mujer
532,0,RegionC,Ligero,48.89595832,Hombre
533,0,RegionC,Ligero,50.866522,Mujer
534,0,RegionC,Pesado,26.96283093,Hombre
535,0,RegionA,Ligero,51.03343037,Mujer
536,0,RegionA,Ligero,37.4539283,Hombre
537,1,RegionB,Pesado,48.13109341,Mujer
538,0,RegionA,Ligero,16.80733048,Mujer
539,1,RegionB,Ligero,34.34013419,Hombre
540,1,RegionC,Pesado,27.56669043,Mujer
541,0,RegionB,Ligero,44.19815379,Mujer
542,0,RegionB,Ligero,47.55841351,Mujer
543,1,RegionB,Ligero,31.98808525,Mujer
544,0,RegionC,Ligero,33.59805183,Mujer
545,0,RegionA,Ligero,50.45476349,Mujer
546,1,RegionC,Ligero,14.70491108,Hombre
547,1,RegionB,Pesado,26.60763465,Mujer
548,0,RegionC,Pesado,41.10160631,Hombre
549,0,RegionC,Pesado,48.21992157,Mujer
550,1,RegionA,Ligero,38.69092663,Hombre
551,0,RegionA,Pesado,27.00867099,Mujer
552,1,RegionC,Ligero,54.96336311,Hombre
553,0,RegionC,Ligero,19.79185508,Hombre
554,1,RegionA,Ligero,45.91641656,Mujer
555,0,RegionC,Pesado,33.93643419,Mujer
556,1,RegionB,Ligero,46.73290063,Mujer
557,0,RegionB,Pesado,34.77394787,Hombre
558,1,RegionB,Ligero,41.98011073,Mujer
