id,trans_after,revenue_after,test_coupon,channel_acq,num_past_purch,spent_last_purchase,weeks_since_visit,browsing_minutes,shopping_cart
6085,0,0,control,google,1,54.49,3,26,nothing
6086,0,0,control,facebook,2,61.99,0,14,nothing
6087,0,0,coupon,google,1,69.99,5,12,nothing
6088,0,0,control,google,7,64.49,5,13,something
6089,0,0,control,google,2,54.99,1,24,nothing
6090,0,0,coupon,facebook,0,0,6,9,something
6091,0,0,coupon,google,1,64.99,4,18,nothing
6092,0,0,coupon,instagram,0,0,0,27,nothing
6093,0,0,control,facebook,0,0,1,17,nothing
6094,0,0,control,instagram,1,59.99,5,21,nothing
6095,0,0,coupon,facebook,0,0,0,19,nothing
6096,0,0,control,google,2,70.99,1,21,nothing
6097,0,0,control,facebook,5,239.97,1,13,nothing
6098,0,0,coupon,facebook,1,64.99,1,7,something
6099,0,0,coupon,google,2,36.99,2,12,nothing
6100,0,0,control,referral,5,155.97,4,1,nothing
6101,0,0,control,google,0,0,4,13,something
6102,0,0,control,facebook,1,51.49,2,10,nothing
6103,0,0,control,facebook,0,0,4,17,nothing
6104,0,0,coupon,google,4,55.99,3,1,nothing
6105,0,0,coupon,facebook,1,69.49,5,13,nothing
6106,0,0,coupon,google,2,35.99,2,20,nothing
6107,0,0,coupon,google,1,68.99,2,22,nothing
6108,0,0,control,facebook,1,91.49,3,13,nothing
6109,0,0,control,instagram,1,69.99,4,24,nothing
6110,0,0,coupon,instagram,0,0,5,5,nothing
6111,0,0,coupon,instagram,0,0,1,10,something
6112,0,0,control,facebook,0,0,5,15,nothing
6113,1,47.592,coupon,google,3,59.49,4,10,something
6114,0,0,control,instagram,2,60.99,0,24,nothing
6115,0,0,coupon,facebook,0,0,5,3,something
6116,0,0,coupon,facebook,0,0,5,17,something
6117,0,0,control,instagram,3,53.99,0,19,nothing
6118,0,0,coupon,instagram,4,68.99,7,9,something
6119,0,0,control,facebook,1,59.99,1,22,nothing
6120,0,0,coupon,facebook,3,56.99,5,8,nothing
6121,0,0,coupon,google,3,65.99,4,17,nothing
6122,1,63.192,coupon,google,9,157.98,2,14,something
6123,0,0,coupon,google,1,56.99,1,17,something
6124,0,0,control,referral,1,58.99,0,25,something
6125,0,0,control,instagram,0,0,4,18,nothing
6126,0,0,control,google,3,59.99,4,18,something
6127,0,0,control,other,1,80.99,0,18,nothing
6128,0,0,control,facebook,1,76.99,4,11,nothing
6129,0,0,control,instagram,1,62.99,5,4,nothing
6130,0,0,coupon,facebook,0,0,0,20,nothing
6131,0,0,coupon,google,0,0,0,5,nothing
6132,0,0,coupon,facebook,0,0,4,4,something
6133,0,0,control,google,0,0,0,10,nothing
6134,0,0,coupon,instagram,0,0,0,19,nothing
6135,0,0,coupon,google,4,72.99,5,22,nothing
6136,0,0,coupon,google,4,76.99,4,18,nothing
6137,0,0,coupon,google,0,0,3,1,nothing
6138,0,0,control,google,6,54.49,6,16,nothing
6139,0,0,coupon,facebook,0,0,4,8,nothing
6140,0,0,coupon,facebook,2,230.97,2,3,something
6141,0,0,coupon,instagram,3,45.99,3,21,nothing
6142,0,0,coupon,facebook,0,0,0,12,something
6143,1,74.99,control,instagram,0,0,2,20,nothing
6144,0,0,coupon,facebook,0,0,6,11,nothing
6145,0,0,coupon,google,4,207.96,1,20,nothing
6146,0,0,coupon,instagram,8,68.99,3,26,something
6147,0,0,control,facebook,5,161.97,2,15,nothing
6148,0,0,control,google,2,75.99,3,5,something
6149,0,0,control,facebook,2,62.99,1,1,something
6150,0,0,coupon,facebook,1,170.97,5,12,something
6151,0,0,control,instagram,0,0,0,16,nothing
6152,0,0,control,instagram,0,0,5,20,nothing
6153,1,45.99,control,google,6,45.99,4,17,something
6154,1,72.49,control,instagram,2,72.49,0,15,something
6155,0,0,coupon,instagram,0,0,0,20,something
6156,0,0,control,facebook,0,0,1,13,nothing
6157,0,0,coupon,google,0,0,1,9,nothing
6158,0,0,coupon,facebook,2,295.96,3,7,nothing
6159,0,0,control,google,1,126.98,1,18,nothing
6160,0,0,coupon,instagram,2,138.98,0,11,nothing
6161,0,0,control,facebook,0,0,5,16,nothing
6162,0,0,coupon,instagram,0,0,2,11,nothing
6163,1,69.192,coupon,instagram,0,0,1,11,nothing
6164,0,0,coupon,instagram,0,0,6,9,something
6165,0,0,control,instagram,3,145.98,5,20,nothing
6166,0,0,control,instagram,0,0,0,22,nothing
6167,0,0,coupon,instagram,1,285.96,5,6,something
6168,0,0,control,instagram,0,0,3,17,nothing
6169,0,0,control,google,2,224.97,1,11,nothing
6170,0,0,control,google,2,137.98,4,13,nothing
6171,0,0,coupon,instagram,0,0,4,14,nothing
6172,0,0,coupon,google,1,137.98,1,18,nothing
6173,0,0,control,google,3,135.98,1,1,something
6174,0,0,coupon,instagram,0,0,0,11,nothing
6175,0,0,control,google,4,119.98,4,12,something
6176,0,0,control,facebook,3,64.49,5,15,nothing
6177,0,0,coupon,facebook,6,74.49,1,20,nothing
6178,0,0,control,google,1,73.99,3,21,nothing
6179,0,0,coupon,instagram,2,48.99,1,11,nothing
6180,0,0,coupon,google,1,72.99,1,20,nothing
6181,0,0,control,facebook,2,63.99,0,1,nothing
6182,0,0,control,google,7,57.99,7,2,nothing
6183,0,0,control,instagram,2,71.99,1,23,nothing
6184,0,0,control,instagram,0,0,0,12,nothing
6185,0,0,control,google,4,66.99,2,22,nothing
6186,0,0,coupon,other,2,77.99,3,15,nothing
6187,0,0,control,google,0,0,5,1,something
6188,0,0,control,instagram,0,0,6,23,nothing
6189,0,0,coupon,google,0,0,2,18,nothing
6190,0,0,coupon,instagram,2,125.98,5,17,nothing
6191,0,0,coupon,google,0,0,0,15,nothing
6192,0,0,control,google,1,51.99,2,12,nothing
6193,0,0,control,facebook,0,0,0,1,something
6194,1,53.99,control,instagram,10,53.99,1,16,something
6195,0,0,control,instagram,0,0,1,20,nothing
6196,0,0,control,google,2,58.99,4,17,nothing
6197,0,0,coupon,instagram,0,0,5,18,something
6198,2,182.98,control,google,18,91.49,0,20,nothing
6199,0,0,control,referral,2,58.99,0,2,nothing
6200,0,0,coupon,facebook,1,99.98,0,8,something
6201,0,0,coupon,facebook,0,0,3,16,nothing
6202,1,53.49,control,instagram,4,53.49,2,6,something
6203,0,0,control,facebook,0,0,4,8,nothing
6204,0,0,control,google,0,0,1,11,nothing
6205,0,0,coupon,instagram,0,0,2,16,nothing
6206,1,82.49,control,facebook,1,82.49,0,13,something
6207,0,0,control,google,3,175.47,7,22,nothing
6208,0,0,coupon,google,0,0,2,15,nothing
6209,0,0,control,google,0,0,5,22,nothing
6210,0,0,coupon,instagram,1,52.99,6,18,something
6211,1,65.49,control,google,2,65.49,1,4,nothing
6212,0,0,coupon,google,0,0,4,9,nothing
6213,0,0,coupon,google,10,53.99,2,8,nothing
6214,0,0,control,google,2,187.47,1,28,nothing
6215,1,71.49,control,facebook,2,71.49,0,19,nothing
6216,0,0,coupon,facebook,0,0,0,4,nothing
6217,0,0,control,google,2,67.99,4,15,nothing
6218,0,0,coupon,facebook,2,59.99,3,1,nothing
6219,0,0,coupon,instagram,3,75.49,7,8,nothing
6220,0,0,coupon,google,1,64.99,0,10,nothing
6221,0,0,coupon,google,2,52.99,6,6,something
6222,1,65.592,coupon,other,2,327.96,1,14,something
6223,0,0,coupon,google,1,69.49,4,19,nothing
6224,0,0,coupon,google,4,69.99,0,31,nothing
6225,0,0,control,instagram,3,62.49,1,13,nothing
6226,0,0,coupon,google,6,59.99,0,10,nothing
6227,0,0,control,instagram,0,0,4,3,nothing
6228,0,0,control,google,2,58.99,7,3,nothing
6229,0,0,coupon,google,6,56.99,4,10,something
6230,0,0,control,google,1,63.49,1,18,nothing
6231,0,0,control,google,0,0,7,13,something
6232,0,0,coupon,google,0,0,3,19,something
6233,0,0,coupon,facebook,0,0,7,20,nothing
6234,0,0,coupon,facebook,0,0,4,13,nothing
6235,0,0,control,instagram,0,0,7,10,something
6236,0,0,coupon,instagram,0,0,4,8,something
6237,0,0,control,google,1,217.96,4,24,nothing
6238,1,68.792,coupon,instagram,9,85.99,4,20,nothing
6239,0,0,control,instagram,5,39.49,1,11,nothing
6240,0,0,coupon,instagram,0,0,7,2,nothing
6241,0,0,coupon,instagram,1,109.98,5,20,nothing
6242,0,0,coupon,facebook,0,0,0,16,nothing
6243,0,0,coupon,google,2,74.99,7,12,nothing
6244,1,32.792,coupon,google,1,40.99,0,17,something
6245,0,0,coupon,google,0,0,6,1,nothing
6246,0,0,coupon,google,1,73.49,5,9,nothing
6247,1,54.49,control,facebook,1,108.98,1,13,nothing
6248,0,0,control,google,0,0,0,1,something
6249,0,0,coupon,facebook,0,0,2,3,nothing
6250,0,0,coupon,instagram,0,0,4,7,something
6251,0,0,control,referral,1,68.99,6,15,nothing
6252,0,0,coupon,instagram,0,0,4,2,something
6253,0,0,coupon,facebook,0,0,5,10,nothing
6254,0,0,coupon,facebook,0,0,4,12,something
6255,1,38.392,coupon,facebook,7,47.99,1,2,nothing
6256,1,49.192,coupon,instagram,5,61.49,0,24,nothing
6257,0,0,coupon,instagram,1,63.49,0,6,nothing
6258,0,0,control,facebook,3,48.99,5,14,nothing
6259,0,0,coupon,google,2,48.99,4,12,nothing
6260,0,0,control,google,1,64.99,6,17,nothing
6261,0,0,control,instagram,3,77.99,5,19,nothing
6262,0,0,coupon,instagram,1,69.99,1,2,something
6263,0,0,coupon,google,0,0,6,18,nothing
6264,0,0,coupon,facebook,4,109.98,6,11,nothing
6265,0,0,coupon,google,3,84.99,5,19,nothing
6266,0,0,control,referral,2,57.99,6,4,nothing
6267,0,0,control,google,2,59.99,5,9,nothing
6268,0,0,coupon,facebook,0,0,0,21,something
6269,0,0,control,google,0,0,2,13,nothing
6270,0,0,control,instagram,4,82.99,6,19,nothing
6271,0,0,coupon,google,0,0,0,10,nothing
6272,0,0,control,other,2,40.49,1,2,nothing
6273,0,0,control,instagram,4,66.49,1,11,nothing
6274,0,0,control,google,0,0,5,16,nothing
6275,0,0,coupon,facebook,4,57.99,5,15,something
6276,0,0,control,google,0,0,2,21,nothing
6277,0,0,coupon,instagram,1,197.97,2,21,nothing
6278,1,69.99,control,other,0,0,3,14,something
6279,0,0,coupon,referral,2,48.49,1,17,nothing
6280,0,0,coupon,google,1,41.99,0,4,something
6281,0,0,control,facebook,0,0,6,16,something
6282,0,0,coupon,facebook,4,65.99,2,4,something
6283,1,70.49,control,instagram,0,0,2,23,nothing
6284,0,0,coupon,google,4,55.99,5,22,nothing
6285,0,0,control,google,2,49.99,1,8,nothing
6286,0,0,coupon,instagram,3,54.99,4,17,nothing
6287,0,0,control,instagram,0,0,1,17,nothing
6288,0,0,coupon,instagram,0,0,1,24,nothing
6289,0,0,coupon,instagram,1,62.99,0,1,something
6290,1,62.99,control,other,0,0,6,13,nothing
6291,0,0,coupon,instagram,2,83.49,1,11,nothing
6292,0,0,control,google,1,52.49,6,22,nothing
6293,0,0,control,facebook,1,57.99,7,20,nothing
6294,1,54.392,coupon,facebook,1,67.99,0,16,nothing
6295,0,0,coupon,google,5,66.99,1,1,nothing
6296,0,0,control,google,4,93.98,1,12,something
6297,0,0,coupon,google,0,0,7,21,nothing
6298,0,0,coupon,instagram,4,72.99,6,30,nothing
6299,0,0,control,instagram,0,0,7,17,nothing
6300,0,0,control,instagram,0,0,4,15,nothing
6301,0,0,coupon,facebook,1,66.99,7,24,nothing
6302,0,0,control,instagram,1,61.99,5,14,nothing
6303,0,0,control,instagram,0,0,4,3,nothing
6304,0,0,coupon,google,1,60.99,0,15,nothing
6305,0,0,control,facebook,7,137.98,2,9,nothing
6306,0,0,control,google,4,55.99,0,3,something
6307,0,0,control,referral,0,0,5,25,nothing
6308,0,0,control,google,1,45.99,7,23,nothing
6309,0,0,control,google,0,0,7,16,something
6310,0,0,coupon,google,4,65.49,1,9,nothing
6311,0,0,control,google,2,55.99,6,12,nothing
6312,0,0,coupon,referral,1,53.99,0,18,something
6313,0,0,control,google,3,57.99,3,21,nothing
6314,0,0,coupon,google,2,68.49,3,12,something
6315,0,0,control,instagram,1,47.99,0,22,nothing
6316,2,153.98,control,instagram,9,76.99,1,21,nothing
6317,0,0,control,google,0,0,7,8,something
6318,0,0,coupon,google,0,0,1,15,nothing
6319,1,44.49,control,google,15,44.49,1,13,nothing
6320,1,58.392,coupon,facebook,0,0,2,14,something
6321,0,0,control,google,0,0,3,16,something
6322,0,0,coupon,google,2,218.97,0,16,nothing
6323,1,45.192,coupon,other,3,56.49,1,11,something
6324,0,0,coupon,referral,1,73.99,6,11,nothing
6325,0,0,coupon,google,0,0,0,1,something
6326,0,0,coupon,facebook,0,0,1,10,nothing
6327,0,0,coupon,google,0,0,5,16,something
6328,0,0,coupon,google,4,279.96,2,11,nothing
6329,0,0,coupon,google,2,81.49,4,23,nothing
6330,0,0,coupon,referral,1,71.49,7,16,nothing
6331,0,0,coupon,facebook,2,50.99,6,22,something
6332,0,0,coupon,instagram,0,0,6,12,nothing
6333,0,0,control,google,2,60.99,0,2,nothing
6334,0,0,coupon,instagram,0,0,6,12,nothing
6335,0,0,coupon,instagram,8,64.99,4,12,nothing
6336,0,0,control,google,1,68.99,6,17,nothing
6337,1,67.49,control,other,0,0,1,19,something
6338,0,0,control,google,1,72.49,0,24,something
6339,0,0,coupon,instagram,4,58.99,6,10,nothing
6340,0,0,control,google,2,60.99,2,16,nothing
6341,2,92.784,coupon,google,8,57.99,6,1,something
6342,0,0,coupon,google,0,0,6,8,something
6343,0,0,coupon,google,0,0,5,21,something
6344,0,0,control,google,7,73.49,0,19,nothing
6345,0,0,control,instagram,0,0,0,23,nothing
6346,0,0,coupon,instagram,4,72.99,5,19,nothing
6347,0,0,coupon,google,0,0,5,24,nothing
6348,0,0,control,google,4,51.49,0,16,nothing
6349,0,0,coupon,facebook,1,57.99,6,4,something
6350,0,0,coupon,instagram,1,81.98,5,18,something
6351,0,0,control,google,0,0,5,11,nothing
6352,0,0,coupon,google,1,51.99,6,20,nothing
6353,0,0,coupon,facebook,1,63.99,0,2,nothing
6354,0,0,control,instagram,0,0,2,18,something
6355,0,0,coupon,instagram,2,59.99,5,24,nothing
6356,1,58.392,coupon,google,2,72.99,1,15,nothing
6357,0,0,control,google,1,70.49,4,19,nothing
6358,0,0,control,facebook,2,61.99,5,11,nothing
6359,0,0,coupon,instagram,0,0,1,21,nothing
6360,1,58.792,coupon,referral,6,73.49,6,1,something
6361,0,0,coupon,facebook,2,51.99,1,20,nothing
6362,0,0,coupon,google,0,0,5,20,nothing
6363,0,0,control,facebook,6,70.49,6,9,nothing
6364,0,0,control,google,1,73.49,3,19,nothing
6365,0,0,coupon,facebook,11,58.99,0,1,nothing
6366,0,0,coupon,instagram,4,63.99,3,21,nothing
6367,0,0,control,google,0,0,7,14,nothing
6368,0,0,control,instagram,1,52.99,0,22,nothing
6369,0,0,control,google,7,48.99,5,17,nothing
6370,0,0,coupon,instagram,3,119.98,1,13,something
6371,0,0,control,google,0,0,7,14,nothing
6372,0,0,coupon,facebook,1,230.97,2,26,nothing
6373,0,0,coupon,instagram,0,0,2,1,something
6374,0,0,coupon,facebook,3,65.49,4,17,nothing
6375,0,0,coupon,instagram,0,0,5,8,nothing
6376,0,0,coupon,facebook,0,0,2,10,something
6377,0,0,coupon,google,1,65.49,2,21,nothing
6378,0,0,control,facebook,0,0,6,19,nothing
6379,0,0,control,facebook,4,127.98,2,10,something
6380,0,0,control,google,2,49.99,5,18,something
6381,0,0,coupon,google,2,65.49,6,5,something
6382,0,0,control,google,2,184.47,0,16,something
6383,0,0,coupon,referral,2,148.98,3,15,nothing
6384,0,0,control,instagram,2,69.99,4,20,nothing
6385,0,0,control,instagram,3,53.49,1,8,something
6386,0,0,coupon,google,2,60.99,0,19,nothing
6387,0,0,coupon,google,0,0,0,24,something
6388,0,0,coupon,google,2,83.98,1,1,something
6389,0,0,coupon,referral,0,0,4,10,nothing
6390,1,60.49,control,instagram,5,60.49,0,10,nothing
6391,2,114.98,control,instagram,2,172.47,1,18,nothing
6392,0,0,control,instagram,2,36.99,7,1,nothing
6393,0,0,control,google,1,68.99,4,27,nothing
6394,0,0,coupon,facebook,1,233.97,7,1,something
6395,0,0,coupon,google,2,52.99,4,17,nothing
6396,0,0,control,facebook,0,0,7,14,nothing
6397,0,0,coupon,facebook,3,44.99,0,13,nothing
6398,0,0,coupon,google,6,135.98,5,3,something
6399,0,0,coupon,facebook,0,0,4,24,nothing
6400,1,60.392,coupon,facebook,10,75.49,2,12,nothing
6401,0,0,coupon,instagram,0,0,7,8,nothing
6402,0,0,control,google,4,76.99,6,22,something
6403,0,0,coupon,facebook,3,62.99,0,15,nothing
6404,0,0,coupon,google,0,0,0,19,something
6405,0,0,coupon,google,3,73.99,0,14,nothing
6406,0,0,control,google,1,75.49,3,17,nothing
6407,0,0,control,instagram,0,0,6,13,nothing
6408,0,0,coupon,google,2,61.99,5,10,something
6409,1,39.192,coupon,instagram,0,0,1,24,nothing
6410,0,0,control,referral,0,0,0,10,nothing
6411,0,0,coupon,instagram,3,82.49,1,16,nothing
6412,0,0,control,google,1,69.49,6,10,something
6413,0,0,control,google,0,0,5,11,nothing
6414,0,0,coupon,facebook,2,39.99,2,7,nothing
6415,0,0,coupon,google,1,41.99,2,30,nothing
6416,0,0,control,instagram,0,0,6,22,something
6417,0,0,control,instagram,6,59.99,1,19,something
6418,0,0,coupon,google,0,0,0,7,nothing
6419,0,0,coupon,facebook,0,0,4,19,nothing
6420,2,107.184,coupon,facebook,9,133.98,1,12,nothing
6421,0,0,coupon,facebook,2,61.99,1,25,nothing
6422,0,0,control,instagram,1,59.99,0,16,nothing
6423,0,0,control,instagram,0,0,5,19,nothing
6424,0,0,control,google,0,0,1,15,nothing
6425,0,0,control,google,5,169.47,4,17,nothing
6426,0,0,control,facebook,1,60.49,0,7,something
6427,0,0,coupon,facebook,5,57.99,6,3,something
6428,0,0,control,google,3,67.49,4,24,nothing
6429,0,0,control,instagram,0,0,2,15,nothing
6430,0,0,control,instagram,1,209.97,1,8,nothing
6431,0,0,coupon,instagram,3,54.99,2,6,something
6432,0,0,coupon,google,3,60.49,0,15,nothing
6433,0,0,coupon,instagram,5,223.96,5,9,nothing
6434,0,0,control,facebook,0,0,0,9,something
6435,0,0,coupon,instagram,0,0,5,4,nothing
6436,0,0,coupon,instagram,0,0,4,1,something
6437,0,0,coupon,google,0,0,7,18,nothing
6438,0,0,coupon,google,3,255.96,5,1,something
6439,0,0,control,instagram,1,61.99,1,22,nothing
6440,0,0,coupon,google,0,0,4,14,nothing
6441,0,0,coupon,instagram,7,59.49,4,18,nothing
6442,0,0,control,google,2,69.99,2,10,something
6443,0,0,control,google,3,60.99,5,15,nothing
6444,0,0,coupon,google,0,0,0,12,nothing
6445,0,0,coupon,other,0,0,4,8,nothing
6446,0,0,control,google,7,194.97,0,19,nothing
6447,0,0,control,instagram,3,113.98,0,15,nothing
6448,0,0,control,referral,3,56.99,7,12,nothing
6449,0,0,coupon,facebook,0,0,7,18,something
6450,0,0,coupon,facebook,2,50.49,7,19,nothing
6451,0,0,coupon,google,1,46.99,5,17,nothing
6452,0,0,control,google,6,179.97,6,12,nothing
6453,0,0,control,google,3,178.47,6,18,nothing
6454,1,40.792,coupon,instagram,5,50.99,5,6,nothing
6455,0,0,coupon,instagram,1,92.98,5,20,nothing
6456,0,0,coupon,google,0,0,3,25,nothing
6457,0,0,control,instagram,2,57.99,1,2,nothing
6458,0,0,control,other,0,0,5,2,something
6459,0,0,coupon,instagram,2,205.47,6,10,something
6460,0,0,control,google,0,0,1,5,nothing
6461,0,0,control,instagram,1,60.99,0,12,nothing
6462,0,0,coupon,facebook,6,122.98,4,21,nothing
6463,0,0,coupon,instagram,1,55.49,6,19,something
6464,0,0,coupon,google,2,59.99,0,20,nothing
6465,0,0,control,google,2,69.99,1,20,something
6466,1,46.392,coupon,instagram,3,57.99,2,17,something
6467,0,0,coupon,instagram,1,45.49,6,8,nothing
6468,0,0,coupon,instagram,0,0,0,20,nothing
6469,0,0,control,instagram,2,66.99,6,16,nothing
6470,1,53.592,coupon,referral,2,66.99,0,5,something
6471,0,0,control,facebook,0,0,2,1,something
6472,0,0,coupon,google,1,211.47,7,6,something
6473,0,0,control,google,0,0,2,23,nothing
6474,1,56.392,coupon,facebook,1,70.49,1,19,something
6475,0,0,coupon,facebook,1,69.99,5,20,nothing
6476,0,0,control,other,8,64.99,5,5,nothing
6477,0,0,coupon,facebook,0,0,0,8,nothing
6478,0,0,coupon,google,2,135.98,0,11,nothing
6479,0,0,control,google,0,0,7,1,nothing
6480,0,0,control,other,3,184.47,6,13,something
6481,0,0,control,google,2,70.49,0,4,something
6482,1,53.99,control,google,9,107.98,4,6,nothing
6483,0,0,coupon,instagram,7,131.98,5,25,nothing
6484,0,0,control,facebook,1,155.97,5,18,nothing
6485,0,0,control,instagram,0,0,2,18,nothing
6486,0,0,control,facebook,2,54.99,2,11,nothing
6487,0,0,coupon,google,2,71.99,3,7,something
6488,0,0,coupon,google,1,71.99,1,3,nothing
6489,0,0,control,instagram,0,0,2,10,something
6490,0,0,coupon,instagram,1,125.98,7,14,something
6491,0,0,control,google,3,239.96,5,23,nothing
6492,0,0,coupon,instagram,3,59.99,1,15,nothing
6493,0,0,control,google,8,67.99,4,26,nothing
6494,1,56.49,control,facebook,6,169.47,0,19,something
6495,0,0,coupon,google,0,0,4,10,nothing
6496,1,43.592,coupon,instagram,7,163.47,5,3,something
6497,0,0,coupon,google,1,67.49,1,18,nothing
6498,1,38.392,coupon,referral,4,47.99,2,13,something
6499,0,0,control,instagram,0,0,4,12,nothing
6500,0,0,control,instagram,0,0,2,21,nothing
6501,0,0,control,instagram,0,0,4,1,nothing
6502,0,0,coupon,google,1,54.99,6,25,nothing
6503,0,0,control,google,2,58.99,0,22,something
6504,0,0,coupon,google,1,53.49,7,15,nothing
6505,0,0,coupon,facebook,3,146.98,2,8,nothing
6506,0,0,coupon,other,3,60.99,1,22,nothing
6507,0,0,coupon,google,2,77.99,6,11,nothing
6508,0,0,coupon,instagram,0,0,6,2,something
6509,0,0,control,google,4,125.98,2,16,nothing
6510,0,0,control,instagram,0,0,2,19,nothing
6511,0,0,control,facebook,0,0,0,14,nothing
6512,0,0,coupon,facebook,1,56.99,1,7,nothing
6513,0,0,coupon,instagram,0,0,1,18,something
6514,0,0,coupon,facebook,5,51.49,7,4,something
6515,0,0,control,instagram,0,0,2,18,nothing
6516,1,61.99,control,other,3,123.98,2,23,something
6517,0,0,control,facebook,1,52.49,4,25,something
6518,0,0,control,google,2,58.99,4,1,nothing
6519,0,0,control,google,3,82.99,5,7,something
6520,0,0,control,facebook,0,0,0,15,nothing
6521,0,0,coupon,google,1,68.49,4,20,nothing
6522,0,0,coupon,google,1,63.99,6,16,nothing
6523,2,110.384,coupon,facebook,5,68.99,4,27,nothing
6524,0,0,control,google,0,0,7,26,nothing
6525,0,0,coupon,google,1,52.99,6,6,something
6526,0,0,coupon,instagram,0,0,5,17,nothing
6527,0,0,control,google,0,0,1,7,nothing
6528,0,0,coupon,google,0,0,7,15,something
6529,0,0,control,referral,0,0,2,27,nothing
6530,0,0,coupon,instagram,1,50.99,5,12,nothing
6531,0,0,coupon,facebook,7,58.99,6,15,something
6532,0,0,control,facebook,0,0,7,15,nothing
