id,call,name,gender,ethnicity,quality,city,jobs,experience,honors,volunteer,military,holes,school,email,computer,special,college,minimum,equal,wanted,requirements,reqexp,reqcomm,reqeduc,reqcomp,reqorg,industry
28,0,Kristen,female,cauc,high,chicago,4,6,no,yes,no,yes,no,yes,yes,yes,no,some,no,secretary,yes,yes,no,yes,yes,no,health/education/social services
29,0,Lakisha,female,afam,high,chicago,3,7,no,no,no,no,yes,yes,yes,no,no,some,no,secretary,yes,yes,no,yes,yes,no,health/education/social services
30,0,Tamika,female,afam,low,chicago,3,2,no,no,no,no,no,no,yes,yes,yes,none,no,manager,yes,no,no,yes,no,no,trade
31,0,Allison,female,cauc,low,chicago,2,6,no,no,no,no,no,no,yes,no,no,none,no,secretary,yes,no,no,no,yes,no,finance/insurance/real estate
32,0,Keisha,female,afam,low,chicago,4,6,no,no,no,no,yes,no,yes,no,no,none,no,secretary,yes,no,no,no,yes,no,finance/insurance/real estate
33,0,Kristen,female,cauc,high,chicago,2,9,no,yes,no,yes,no,yes,yes,no,no,none,no,secretary,yes,no,no,no,yes,no,finance/insurance/real estate
34,0,Latonya,female,afam,high,chicago,3,6,yes,no,no,yes,yes,yes,yes,no,yes,none,no,secretary,yes,no,no,no,yes,no,finance/insurance/real estate
35,0,Brad,male,cauc,low,chicago,2,4,no,no,no,no,no,no,no,no,no,none,no,manager,no,no,no,no,no,no,manufacturing
36,0,Jill,female,cauc,high,chicago,3,5,no,yes,no,no,yes,yes,yes,no,no,3,yes,office support,yes,yes,yes,no,yes,no,business/personal services
37,0,Keisha,female,afam,low,chicago,3,4,no,no,no,yes,no,no,yes,no,yes,3,yes,office support,yes,yes,yes,no,yes,no,business/personal services
38,0,Keisha,female,afam,low,chicago,3,3,no,no,no,no,no,no,no,yes,yes,none,no,manager,no,no,no,no,no,no,manufacturing
39,0,Lakisha,female,afam,high,chicago,3,4,no,yes,yes,no,yes,yes,yes,no,no,3,yes,office support,yes,yes,yes,no,yes,no,business/personal services
40,0,Laurie,female,cauc,high,chicago,3,5,no,yes,no,no,yes,yes,no,yes,yes,none,no,manager,no,no,no,no,no,no,manufacturing
41,0,Meredith,female,cauc,low,chicago,2,5,yes,no,no,yes,no,no,yes,no,yes,3,yes,office support,yes,yes,yes,no,yes,no,business/personal services
42,0,Tyrone,male,afam,high,chicago,3,5,no,yes,no,no,yes,yes,no,yes,yes,none,no,manager,no,no,no,no,no,no,manufacturing
43,0,Anne,female,cauc,high,chicago,4,7,no,yes,no,yes,no,yes,yes,no,yes,2,no,manager,yes,yes,no,yes,no,no,health/education/social services
44,0,Emily,female,cauc,low,chicago,4,6,no,no,no,no,yes,no,yes,no,yes,2,no,manager,yes,yes,no,yes,no,no,health/education/social services
45,0,Latoya,female,afam,low,chicago,4,5,no,no,no,yes,no,no,yes,yes,yes,2,no,manager,yes,yes,no,yes,no,no,health/education/social services
46,0,Tamika,female,afam,high,chicago,2,7,no,yes,no,yes,no,yes,yes,no,no,2,no,manager,yes,yes,no,yes,no,no,health/education/social services
47,0,Brad,male,cauc,high,chicago,2,4,no,yes,no,yes,no,yes,yes,yes,no,none,no,manager,no,no,no,no,no,no,trade
48,0,Latoya,female,afam,high,chicago,3,5,no,yes,no,no,yes,yes,no,yes,yes,none,no,manager,no,no,no,no,no,no,trade
49,0,Kristen,female,cauc,low,chicago,3,4,no,no,no,yes,no,no,yes,no,yes,none,no,secretary,yes,no,no,no,no,no,health/education/social services
50,0,Latonya,female,afam,high,chicago,3,5,no,no,no,no,yes,yes,yes,yes,yes,none,no,secretary,yes,no,no,no,no,no,health/education/social services
51,0,Latoya,female,afam,low,chicago,4,6,no,no,no,yes,yes,no,yes,no,yes,none,no,secretary,yes,no,no,no,no,no,health/education/social services
52,0,Laurie,female,cauc,high,chicago,3,6,no,yes,no,no,yes,yes,yes,no,yes,none,no,secretary,yes,no,no,no,no,no,health/education/social services
53,0,Allison,female,cauc,low,chicago,5,13,no,no,no,yes,yes,no,yes,yes,yes,some,no,secretary,yes,yes,no,no,no,no,finance/insurance/real estate
54,0,Ebony,female,afam,low,chicago,2,19,yes,no,no,yes,no,no,yes,yes,yes,some,no,secretary,yes,yes,no,no,no,no,finance/insurance/real estate
55,0,Jay,male,cauc,high,chicago,3,5,no,yes,no,no,yes,yes,no,no,no,some,no,manager,yes,yes,no,no,no,no,trade
56,0,Keisha,female,afam,high,chicago,5,7,no,no,yes,yes,no,yes,yes,yes,yes,some,no,secretary,yes,yes,no,no,no,no,finance/insurance/real estate
57,0,Laurie,female,cauc,high,chicago,4,21,no,no,no,yes,yes,yes,yes,no,yes,some,no,secretary,yes,yes,no,no,no,no,finance/insurance/real estate
58,0,Tyrone,male,afam,high,chicago,3,5,no,yes,no,no,yes,yes,no,yes,no,some,no,manager,yes,yes,no,no,no,no,trade
59,0,Anne,female,cauc,low,chicago,4,4,no,no,no,yes,yes,no,yes,yes,yes,none,yes,secretary,yes,no,no,yes,yes,no,business/personal services
60,0,Lakisha,female,afam,high,chicago,3,5,no,no,no,no,yes,yes,yes,yes,yes,none,yes,secretary,yes,no,no,yes,yes,no,business/personal services
61,0,Latonya,female,afam,low,chicago,4,6,no,no,no,no,yes,no,yes,no,yes,none,yes,secretary,yes,no,no,yes,yes,no,business/personal services
62,0,Meredith,female,cauc,high,chicago,3,5,no,yes,no,no,yes,yes,yes,no,no,none,yes,secretary,yes,no,no,yes,yes,no,business/personal services
63,0,Allison,female,cauc,high,chicago,2,5,no,yes,no,no,no,yes,yes,yes,no,none,no,manager,no,no,no,no,no,no,unknown
64,0,Carrie,female,cauc,low,chicago,2,6,no,no,no,no,no,no,no,no,yes,none,yes,secretary,no,no,no,no,no,no,manufacturing
65,0,Ebony,female,afam,high,chicago,3,6,no,yes,no,no,yes,yes,no,no,yes,none,no,manager,no,no,no,no,no,no,unknown
66,0,Kenya,female,afam,low,chicago,4,6,no,no,no,yes,no,no,yes,yes,yes,none,yes,secretary,no,no,no,no,no,no,manufacturing
67,0,Lakisha,female,afam,high,chicago,3,6,yes,no,no,yes,yes,yes,yes,no,yes,none,yes,secretary,no,no,no,no,no,no,manufacturing
68,0,Laurie,female,cauc,high,chicago,3,4,no,yes,yes,no,yes,yes,yes,no,no,none,yes,secretary,no,no,no,no,no,no,manufacturing
69,0,Aisha,female,afam,high,chicago,4,8,no,yes,no,yes,no,yes,yes,no,yes,none,no,office support,yes,no,yes,no,yes,yes,business/personal services
70,0,Anne,female,cauc,low,chicago,4,5,no,no,no,yes,yes,no,yes,no,yes,none,no,office support,yes,no,yes,no,yes,yes,business/personal services
71,0,Brendan,male,cauc,high,chicago,2,5,no,yes,no,no,no,yes,no,yes,yes,none,yes,retail sales,no,no,no,no,no,no,trade
72,0,Hakim,male,afam,high,chicago,3,5,no,yes,no,no,no,yes,yes,yes,no,none,yes,retail sales,no,no,no,no,no,no,trade
73,0,Latoya,female,afam,low,chicago,4,6,no,no,no,no,yes,no,yes,no,no,none,no,office support,yes,no,yes,no,yes,yes,business/personal services
74,0,Laurie,female,cauc,low,chicago,2,5,no,no,no,no,no,no,no,yes,yes,none,yes,retail sales,no,no,no,no,no,no,trade
75,0,Laurie,female,cauc,high,chicago,3,3,no,yes,yes,no,yes,yes,yes,no,no,none,no,office support,yes,no,yes,no,yes,yes,business/personal services
76,0,Leroy,male,afam,low,chicago,3,4,no,no,no,no,no,no,yes,yes,yes,none,yes,retail sales,no,no,no,no,no,no,trade
77,0,Anne,female,cauc,high,chicago,3,12,no,yes,no,no,yes,yes,yes,no,yes,2,yes,secretary,yes,yes,yes,no,yes,no,manufacturing
78,0,Kenya,female,afam,high,chicago,3,11,no,yes,no,no,yes,yes,yes,no,no,2,yes,secretary,yes,yes,yes,no,yes,no,manufacturing
79,0,Latonya,female,afam,low,chicago,2,9,yes,no,no,yes,no,no,yes,no,yes,2,yes,secretary,yes,yes,yes,no,yes,no,manufacturing
80,0,Meredith,female,cauc,low,chicago,3,10,no,no,no,yes,no,no,yes,no,yes,2,yes,secretary,yes,yes,yes,no,yes,no,manufacturing
81,0,Jamal,male,afam,low,chicago,4,5,no,no,no,yes,no,no,yes,yes,yes,3,no,manager,yes,yes,no,yes,yes,no,health/education/social services
82,0,Matthew,male,cauc,high,chicago,4,4,no,yes,no,yes,no,yes,yes,yes,yes,3,no,manager,yes,yes,no,yes,yes,no,health/education/social services
83,0,Neil,male,cauc,low,chicago,2,4,no,no,no,no,yes,no,yes,no,yes,3,no,manager,yes,yes,no,yes,yes,no,health/education/social services
84,0,Tyrone,male,afam,high,chicago,5,3,no,yes,no,yes,yes,yes,yes,no,yes,3,no,manager,yes,yes,no,yes,yes,no,health/education/social services
85,0,Leroy,male,afam,high,chicago,3,4,no,yes,no,no,no,yes,no,yes,no,some,no,manager,yes,yes,no,no,no,no,trade
86,1,Todd,male,cauc,high,chicago,3,7,no,yes,no,yes,yes,yes,yes,no,no,some,no,manager,yes,yes,no,no,no,no,trade
87,0,Brad,male,cauc,low,chicago,3,3,no,no,no,no,no,no,yes,yes,no,none,no,manager,no,no,no,no,no,no,trade
88,0,Ebony,female,afam,low,chicago,2,3,no,no,no,no,yes,no,yes,no,yes,some,yes,secretary,yes,yes,yes,no,yes,no,health/education/social services
89,0,Jill,female,cauc,low,chicago,4,2,no,no,no,yes,no,no,yes,no,yes,some,yes,secretary,yes,yes,yes,no,yes,no,health/education/social services
90,0,Kristen,female,cauc,high,chicago,4,4,no,no,no,no,yes,yes,yes,no,yes,some,yes,secretary,yes,yes,yes,no,yes,no,health/education/social services
91,0,Lakisha,female,afam,high,chicago,2,4,yes,yes,no,yes,yes,yes,no,yes,yes,none,no,manager,no,no,no,no,no,no,trade
92,0,Matthew,male,cauc,high,chicago,3,4,no,yes,yes,no,yes,yes,yes,yes,yes,none,no,manager,no,no,no,no,no,no,trade
93,0,Tamika,female,afam,high,chicago,6,4,no,no,no,no,yes,yes,yes,yes,yes,some,yes,secretary,yes,yes,yes,no,yes,no,health/education/social services
94,0,Tremayne,male,afam,low,chicago,3,2,no,no,no,no,no,no,yes,yes,yes,none,no,manager,no,no,no,no,no,no,trade
95,0,Aisha,female,afam,high,chicago,4,10,no,yes,no,yes,no,yes,yes,yes,yes,none,yes,secretary,yes,no,no,no,yes,no,manufacturing
96,1,Brett,male,cauc,high,chicago,3,4,no,yes,no,yes,yes,yes,no,no,no,some,no,manager,yes,yes,no,no,no,no,trade
97,0,Darnell,male,afam,high,chicago,3,5,no,yes,no,no,yes,yes,no,yes,no,some,no,manager,yes,yes,no,no,no,no,trade
98,0,Emily,female,cauc,high,chicago,5,11,no,yes,no,yes,yes,yes,yes,no,yes,none,yes,secretary,yes,no,no,no,yes,no,manufacturing
99,0,Latonya,female,afam,low,chicago,2,3,no,no,no,no,yes,no,yes,yes,yes,none,yes,secretary,yes,no,no,no,yes,no,manufacturing
100,0,Sarah,female,cauc,low,chicago,4,2,no,no,no,yes,no,no,yes,yes,yes,none,yes,secretary,yes,no,no,no,yes,no,manufacturing
101,0,Aisha,female,afam,high,chicago,4,7,no,no,no,no,yes,yes,yes,no,yes,5,yes,supervisor,yes,yes,no,no,yes,no,trade
102,0,Anne,female,cauc,high,chicago,4,7,no,yes,no,yes,no,yes,yes,yes,yes,5,yes,supervisor,yes,yes,no,no,yes,no,trade
103,0,Jermaine,male,afam,high,chicago,3,4,no,yes,no,yes,yes,yes,no,no,yes,2,no,manager,yes,yes,no,no,no,no,trade
104,0,Neil,male,cauc,high,chicago,3,4,no,yes,no,no,yes,yes,no,yes,yes,2,no,manager,yes,yes,no,no,no,no,trade
105,0,Allison,female,cauc,high,chicago,4,4,no,yes,no,no,yes,yes,yes,no,yes,1,no,secretary,yes,yes,no,yes,yes,no,health/education/social services
106,1,Anne,female,cauc,high,chicago,2,6,yes,yes,no,no,yes,yes,no,yes,yes,some,yes,manager,yes,yes,no,no,no,no,trade
107,0,Keisha,female,afam,high,chicago,5,6,no,yes,no,yes,yes,yes,yes,no,yes,1,no,secretary,yes,yes,no,yes,yes,no,health/education/social services
108,1,Latonya,female,afam,high,chicago,3,6,no,yes,no,yes,yes,yes,no,yes,yes,some,yes,manager,yes,yes,no,no,no,no,trade
109,0,Latonya,female,afam,high,chicago,3,6,no,yes,no,no,yes,yes,no,yes,yes,none,no,manager,no,no,no,no,no,no,trade
110,0,Laurie,female,cauc,high,chicago,2,6,no,yes,yes,no,yes,yes,no,yes,yes,none,no,manager,no,no,no,no,no,no,trade
111,0,Jay,male,cauc,high,chicago,2,6,yes,yes,no,no,yes,yes,no,yes,yes,2,yes,manager,yes,yes,no,no,yes,no,trade
112,0,Lakisha,female,afam,high,chicago,2,4,no,yes,no,no,yes,yes,no,no,yes,2,yes,manager,yes,yes,no,no,yes,no,trade
113,0,Anne,female,cauc,low,chicago,3,23,no,yes,no,yes,yes,no,yes,no,no,none,yes,secretary,yes,no,no,no,yes,no,manufacturing
114,0,Keisha,female,afam,low,chicago,4,5,no,no,no,yes,yes,no,yes,no,yes,none,yes,secretary,yes,no,no,no,yes,no,manufacturing
115,0,Kristen,female,cauc,high,chicago,3,4,no,no,no,no,yes,yes,yes,no,no,none,yes,secretary,yes,no,no,no,yes,no,manufacturing
116,0,Lakisha,female,afam,high,chicago,3,4,yes,no,no,yes,yes,no,yes,no,yes,none,yes,secretary,yes,no,no,no,yes,no,manufacturing
117,0,Allison,female,cauc,high,chicago,4,5,no,yes,no,yes,no,no,yes,no,no,5,yes,supervisor,yes,yes,no,no,yes,no,manufacturing
118,0,Ebony,female,afam,high,chicago,3,5,no,yes,yes,no,yes,yes,yes,no,no,5,yes,supervisor,yes,yes,no,no,yes,no,manufacturing
119,0,Keisha,female,afam,low,chicago,4,5,no,no,no,no,yes,no,yes,yes,no,5,yes,supervisor,yes,yes,no,no,yes,no,manufacturing
120,0,Kristen,female,cauc,low,chicago,3,1,no,yes,no,yes,no,no,no,yes,no,some,yes,manager,yes,yes,no,no,no,no,trade
121,0,Lakisha,female,afam,low,chicago,2,5,no,no,no,no,no,no,no,yes,yes,some,yes,manager,yes,yes,no,no,no,no,trade
122,0,Meredith,female,cauc,low,chicago,4,5,no,no,no,yes,yes,no,yes,no,yes,5,yes,supervisor,yes,yes,no,no,yes,no,manufacturing
123,0,Allison,female,cauc,low,chicago,3,5,no,no,no,no,no,no,no,no,yes,some,no,retail sales,yes,yes,no,no,no,no,finance/insurance/real estate
124,0,Kristen,female,cauc,high,chicago,4,8,no,no,no,no,yes,yes,yes,yes,yes,5,no,supervisor,yes,yes,no,no,yes,no,business/personal services
125,0,Lakisha,female,afam,low,chicago,3,4,no,no,no,no,no,no,no,yes,no,some,no,retail sales,yes,yes,no,no,no,no,finance/insurance/real estate
126,0,Lakisha,female,afam,high,chicago,4,9,no,yes,no,yes,no,yes,yes,yes,yes,5,no,supervisor,yes,yes,no,no,yes,no,business/personal services
127,1,Tanisha,female,afam,high,chicago,1,9,yes,yes,no,no,yes,yes,yes,yes,yes,some,no,supervisor,yes,yes,yes,no,no,no,trade
128,1,Todd,male,cauc,high,chicago,2,5,no,yes,no,yes,yes,yes,no,yes,no,some,no,supervisor,yes,yes,yes,no,no,no,trade
129,0,Aisha,female,afam,high,chicago,3,6,no,yes,no,yes,yes,yes,no,no,yes,none,yes,manager,no,no,no,no,no,no,trade
130,0,Anne,female,cauc,high,chicago,3,8,no,no,no,no,yes,yes,yes,no,no,8,yes,supervisor,yes,yes,no,no,yes,no,trade
131,0,Jill,female,cauc,low,chicago,4,9,no,no,no,yes,yes,no,yes,no,yes,8,yes,supervisor,yes,yes,no,no,yes,no,trade
132,0,Latoya,female,afam,high,chicago,3,9,no,no,no,no,yes,yes,yes,yes,yes,8,yes,supervisor,yes,yes,no,no,yes,no,trade
133,0,Neil,male,cauc,high,chicago,3,5,no,yes,no,no,yes,yes,no,no,yes,none,yes,manager,no,no,no,no,no,no,trade
134,0,Tamika,female,afam,low,chicago,3,10,no,no,no,yes,no,no,yes,no,yes,8,yes,supervisor,yes,yes,no,no,yes,no,trade
135,0,Anne,female,cauc,high,chicago,4,8,no,no,no,no,yes,yes,yes,no,yes,some,no,secretary,yes,yes,no,no,yes,no,unknown
136,0,Geoffrey,male,cauc,high,chicago,3,6,no,yes,no,yes,yes,yes,yes,no,no,2,no,manager,yes,yes,no,no,no,no,business/personal services
137,0,Latoya,female,afam,high,chicago,4,5,no,yes,no,yes,no,yes,yes,yes,yes,some,no,secretary,yes,yes,no,no,yes,no,unknown
138,0,Rasheed,male,afam,high,chicago,3,4,no,yes,no,no,yes,yes,no,yes,no,2,no,manager,yes,yes,no,no,no,no,business/personal services
139,0,Aisha,female,afam,low,chicago,4,6,no,no,no,no,yes,no,yes,no,no,3,yes,supervisor,yes,yes,no,yes,yes,no,manufacturing
140,0,Allison,female,cauc,high,chicago,3,4,no,yes,yes,no,yes,yes,yes,no,no,3,yes,supervisor,yes,yes,no,yes,yes,no,manufacturing
141,0,Carrie,female,cauc,low,chicago,2,6,no,no,no,no,no,no,yes,no,no,3,yes,supervisor,yes,yes,no,yes,yes,no,manufacturing
142,0,Ebony,female,afam,low,chicago,2,4,no,no,no,yes,no,no,yes,yes,no,2,no,manager,yes,yes,no,no,no,no,trade
143,0,Kenya,female,afam,high,chicago,3,5,no,yes,no,no,yes,yes,yes,no,no,3,yes,supervisor,yes,yes,no,yes,yes,no,manufacturing
144,0,Kristen,female,cauc,low,chicago,3,4,no,no,no,no,no,no,no,yes,yes,2,no,manager,yes,yes,no,no,no,no,trade
145,0,Jermaine,male,afam,low,chicago,3,6,no,no,no,no,no,no,no,no,no,none,no,manager,no,no,no,no,no,no,trade
146,0,Laurie,female,cauc,low,chicago,3,4,no,no,no,no,no,no,no,yes,no,none,no,manager,no,no,no,no,no,no,trade
147,0,Allison,female,cauc,low,chicago,3,7,no,yes,no,yes,yes,no,yes,no,no,5,yes,secretary,yes,yes,no,no,yes,no,health/education/social services
148,0,Kristen,female,cauc,high,chicago,3,9,no,no,no,no,yes,yes,yes,no,no,5,yes,secretary,yes,yes,no,no,yes,no,health/education/social services
149,0,Lakisha,female,afam,low,chicago,2,7,yes,no,no,yes,no,no,yes,no,yes,5,yes,secretary,yes,yes,no,no,yes,no,health/education/social services
150,0,Latonya,female,afam,high,chicago,4,8,no,yes,no,yes,no,yes,yes,no,no,5,yes,secretary,yes,yes,no,no,yes,no,health/education/social services
151,0,Brad,male,cauc,low,chicago,5,6,no,no,no,yes,no,no,yes,yes,yes,some,no,manager,yes,yes,no,no,no,no,trade
152,0,Leroy,male,afam,low,chicago,3,9,no,no,no,yes,no,no,yes,yes,yes,some,no,manager,yes,yes,no,no,no,no,trade
153,0,Emily,female,cauc,high,chicago,2,12,no,yes,no,yes,no,yes,yes,no,no,none,no,secretary,yes,no,no,no,yes,no,finance/insurance/real estate
154,0,Latonya,female,afam,low,chicago,2,6,no,no,no,no,no,no,yes,no,no,none,no,secretary,yes,no,no,no,yes,no,finance/insurance/real estate
155,0,Latoya,female,afam,high,chicago,3,5,yes,no,no,yes,yes,yes,yes,no,yes,none,no,secretary,yes,no,no,no,yes,no,finance/insurance/real estate
156,0,Laurie,female,cauc,low,chicago,4,7,no,no,no,yes,no,no,yes,no,yes,none,no,secretary,yes,no,no,no,yes,no,finance/insurance/real estate
157,0,Aisha,female,afam,high,chicago,3,14,no,no,no,no,no,yes,no,no,yes,none,no,retail sales,yes,no,yes,no,no,no,business/personal services
158,0,Allison,female,cauc,low,chicago,5,12,no,no,no,yes,yes,no,yes,no,yes,some,no,manager,yes,yes,no,no,yes,no,business/personal services
159,0,Ebony,female,afam,high,chicago,5,7,no,no,yes,yes,no,yes,yes,yes,yes,some,no,manager,yes,yes,no,no,yes,no,business/personal services
160,0,Jermaine,male,afam,low,chicago,2,3,no,no,no,yes,no,no,no,yes,no,none,no,retail sales,yes,no,yes,no,no,no,business/personal services
161,0,Kristen,female,cauc,low,chicago,3,1,no,no,no,no,no,no,no,yes,no,none,no,retail sales,yes,no,yes,no,no,no,business/personal services
162,0,Latonya,female,afam,low,chicago,2,5,yes,no,no,yes,no,no,yes,no,yes,some,no,manager,yes,yes,no,no,yes,no,business/personal services
163,0,Laurie,female,cauc,high,chicago,4,21,no,no,no,yes,yes,yes,yes,no,yes,some,no,manager,yes,yes,no,no,yes,no,business/personal services
164,0,Laurie,female,cauc,high,chicago,3,2,no,no,no,yes,no,yes,yes,yes,yes,none,no,retail sales,yes,no,yes,no,no,no,business/personal services
165,0,Anne,female,cauc,low,chicago,4,7,no,no,no,yes,no,no,yes,no,yes,none,no,office support,yes,no,no,no,yes,no,manufacturing
166,1,Brendan,male,cauc,high,chicago,5,10,no,no,no,yes,no,yes,yes,no,yes,none,yes,other,no,no,no,no,no,no,business/personal services
167,0,Kareem,male,afam,high,chicago,5,10,no,no,no,yes,no,yes,no,yes,yes,none,yes,other,no,no,no,no,no,no,business/personal services
168,0,Keisha,female,afam,high,chicago,2,7,no,yes,no,yes,no,yes,yes,no,no,none,no,office support,yes,no,no,no,yes,no,manufacturing
169,1,Matthew,male,cauc,low,chicago,2,6,no,no,yes,yes,no,no,yes,yes,yes,none,yes,other,no,no,no,no,no,no,business/personal services
170,0,Meredith,female,cauc,high,chicago,3,6,yes,no,no,yes,yes,yes,yes,no,yes,none,no,office support,yes,no,no,no,yes,no,manufacturing
171,0,Tanisha,female,afam,low,chicago,2,6,no,no,no,no,no,no,yes,no,no,none,no,office support,yes,no,no,no,yes,no,manufacturing
172,1,Tanisha,female,afam,low,chicago,3,11,no,no,no,yes,yes,no,yes,yes,no,none,yes,other,no,no,no,no,no,no,business/personal services
173,0,Aisha,female,afam,high,boston,4,14,no,yes,no,no,yes,no,yes,yes,yes,3,yes,manager,yes,yes,no,no,no,no,business/personal services
174,0,Allison,female,cauc,low,boston,4,8,no,no,no,no,no,no,yes,no,yes,3,yes,manager,yes,yes,no,no,no,no,business/personal services
175,0,Allison,female,cauc,high,boston,6,18,no,yes,no,no,no,no,yes,no,yes,3,yes,manager,yes,yes,no,no,no,no,trade
176,0,Anne,female,cauc,low,boston,3,7,no,no,no,yes,no,no,no,no,yes,some,no,retail sales,yes,yes,no,no,no,no,unknown
177,0,Brendan,male,cauc,low,boston,3,8,yes,no,no,yes,no,no,no,no,no,some,no,retail sales,yes,yes,no,no,no,no,trade
178,0,Brett,male,cauc,low,boston,5,26,no,no,no,no,no,no,no,no,yes,some,no,manager,yes,yes,no,no,no,no,health/education/social services
179,0,Brett,male,cauc,high,boston,6,18,no,yes,no,no,no,no,yes,no,yes,3,yes,manager,yes,yes,no,yes,no,no,manufacturing
180,0,Brett,male,cauc,high,boston,2,6,no,yes,no,no,yes,yes,yes,yes,yes,some,no,retail sales,yes,yes,no,no,no,no,trade
181,0,Ebony,female,afam,low,boston,4,6,no,no,no,no,yes,no,yes,no,yes,some,no,retail sales,yes,yes,no,no,no,no,unknown
182,0,Geoffrey,male,cauc,low,boston,5,26,no,no,no,no,no,no,no,no,yes,3,yes,manager,yes,yes,no,no,no,no,trade
183,0,Jay,male,cauc,high,boston,6,18,no,yes,no,no,no,no,yes,no,yes,3,yes,manager,yes,yes,no,no,no,no,business/personal services
184,0,Jill,female,cauc,high,boston,6,18,no,yes,no,no,no,no,yes,no,yes,2,yes,manager,yes,yes,no,yes,no,no,health/education/social services
185,0,Keisha,female,afam,low,boston,4,8,no,no,no,no,no,no,yes,no,yes,2,yes,manager,yes,yes,no,yes,no,no,health/education/social services
186,0,Keisha,female,afam,high,boston,4,10,yes,no,yes,yes,no,yes,yes,no,yes,some,no,retail sales,yes,yes,no,no,no,no,trade
